,Body,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10,pcode1,pcode2,pcode3,pcode4,pcode5,pcode6,pcode7,pcode8,pcode9,pcode10
20,talent management total rewards process inconsistent across organization,2,,,,,,,,,,2,,,,,,,,,
21,prioritizing execution over more sales,4,,,,,,,,,,,,,,,,,,,
22,decisions that should be clear based on requirements guidelines however sometimes these are avoided due to the potential for conflict,12,,,,,,,,,,,,,,,,,,,
23,ability to performance manage staff effectively legal makes it nearly impossible to offboard talent that is underperforming or actually damaging the morale of the team we must get comfortable that as fast as we are growing we are going to make some wrong hires or that people may even take a wrong turn in their careers and not everyone is on the right bus,2,54,,,,,,,,,2,13,54,,,,,,,
24,diversity of upper level leadership,69,70,,,,,,,,,70,,,,,,,,,
25,there are lots of growth at chick fil a around making things better the current discussion around knowing about new initiative to enhance career and promotions,3,54,,,,,,,,,3,54,,,,,,,,
26,decisions that impact subteams within departments while a decision at that level may have negative impacts that reach up to the broader enterprise or multi department level these types of decisions can have strong positive impacts as well while it is important to weigh these decisions and i respect the process i have seen and bore witness to these type of decisions being put on hold to deal with other issues i believe that the company loses more than it gains here examples are decisions to re level certain roles within a sub department and the decision takes over half a year to approve,52,,,,,,,,,,52,,,,,,,,,
27,they need to be more consistent in staff selection i have seen too many examples of requiring one set of guidelines for one group only to not require the same of all groups for example a tl needed to provide a min presentation to stay in the same role but different team while another group didn t even interview and a job was never posted but they were awarded big promotions,3,,,,,,,,,,3,,,,,,,,,
28,i think decisions around diversity and inclusion need to continue to evolve,69,,,,,,,,,,69,,,,,,,,,
29,i believe more initiative could be taken in my department help there have been several changes that have been made by higher levels of leadership that directly affect lower levels there is a general feeling from the lower levels that decisions about how we manage our daily work are being made for us and we are unable to express opinions make valuable changes generally control our work,52,70,,,,,,,,,52,70,,,,,,,,
30,communicate better between the developers and the helpdesk,8,,,,,,,,,,,,,,,,,,,
31,decisions on rotating schedules for saturday analysts since it s still a but unclear,12,,,,,,,,,,2,,,,,,,,,
32,increasing diversity,69,,,,,,,,,,,,,,,,,,,
33,chick fil a could improve upon decision that ll address the talent shortage regarding benefits or pay for team members that ll make chick fil a stand out from the competition i know many people who are hesitant to work at a chick fil a restaurant because of the difficulty in operations and the lack of competitive pay benefits,2,53,,,,,,,,,2,53,,,,,,,,
34,provide more growth opportunities,54,,,,,,,,,,54,,,,,,,,,
35,no standard processes departmental flexibility can lead to inefficiency and inconsistency as business decisions are made they are not laddered down to specific small teams and individual work,52,,,,,,,,,,52,,,,,,,,,
36,new or changing technologies both restaurant and staff facing restaurant technology decisions seem to be made too quickly without enough testing given the risk and impact to business operations customers operators team members and staff are impacted operationally but even more importantly these decisions impact operator and customer trust staff technology decisions seem to be made too slowly years in some cases too much evaluation given the risks and impacts,6,13,53,,,,,,,,13,53,,,,,,,,
37,listening to operators restaurants needs and prioritizing what they will find helpful for their restaurants,4,53,,,,,,,,,53,,,,,,,,,
38,change management of rollouts impacting restaurants at any given time,53,,,,,,,,,,53,,,,,,,,,
39,the timing of initiatives and how it may impact restaurants,53,,,,,,,,,,53,,,,,,,,,
40,more autonomy trust leaders in selecting right talent,2,70,,,,,,,,,2,70,,,,,,,,
41,mid level execution of decisions while major strides have been made some aspects of a culture of fear of perception persist at chick fil a some mid level people leaders and individual contributors that have been here years hold on to a mentality that there will be negative consequences for their career growth if they step out or try something and fail,3,7,54,70,,,,,,,3,70,,,,,,,,
42,chick fil a could improve communications to staff and help in particular on new roll outs that communication could assist with faster service to our operators team members restaurants and overall the end customers,8,53,,,,,,,,,53,,,,,,,,,
43,chick fil a needs to improve on communication across all departments regarding issues roll outs initiatives updates changes etc,8,52,,,,,,,,,52,,,,,,,,,
44,promotional decisions can sometimes favor relationships over work ethic and experience if you know the right people you have a clear advantage over those who don t,3,,,,,,,,,,2,,,,,,,,,
45,chick fil a should continue to improve the diversity of its people to continue to reflect the customers that we serve,69,,,,,,,,,,,,,,,,,,,
46,the length of the interview process for internal candidates needs to be overhauled i have personally interviewed for several roles and the culture fit questions can be reduced if the candidate has already joined the organization,2,7,,,,,,,,,2,,,,,,,,,
47,agile decisions we ve been trying to implement agile for a while but decisions continually get bottlenecked at higher levels,70,,,,,,,,,,,,,,,,,,,
48,csm user friendliness is not the best lots of bugs and glitches and outside platforms needed to do the help online job,6,,,,,,,,,,,,,,,,,,,
49,decisions around minimizing waste and red tape as we grow larger working to keep us as close to a small business as possible,54,,,,,,,,,,13,54,,,,,,,,
50,chick fil a could improve on decisions around the overall meeting culture and help to facilitate a more productive culture around meetings,7,,,,,,,,,,7,,,,,,,,,
51,people leadership selection and oversight,70,,,,,,,,,,70,,,,,,,,,
52,a little less traditional in the corporate environment and instead embrace uniqueness in cultural celebrations have festivities on site for different cultural days,7,69,,,,,,,,,7,,,,,,,,,
53,diversity and dei moving swiftly and taking a stand when necessary,69,,,,,,,,,,69,,,,,,,,,
54,decision to prioritize reorganize and fund changes to the organization so that we are fully responsive to the operators we are still too siloed,4,53,,,,,,,,,53,,,,,,,,,
55,seek staff feedback on vendors and track feedback to learn if the vendor is the best fit for our growing company,54,,,,,,,,,,54,,,,,,,,,
56,decision making speed well thought out decisions take a long time to process and i applaud cfa for this of the time however some decisions like moving my team from it analyst i to it analyst ii has been in the works for years this decision could have been made in weeks,13,,,,,,,,,,13,,,,,,,,,
57,how to support diversity of race ethnicity etc but keep our shared values and faith based culture,7,69,,,,,,,,,7,69,,,,,,,,
58,accountability for leaders to align work and find a common vision across similar overlapping change initiatives,70,,,,,,,,,,70,,,,,,,,,
59,i personally feel chick fil a needs to improve their decisions at times when choosing to move leaders around the business while i feel there is most certainly a need for this at times sometimes it feels like we are just doing it to do it rather than it really being a wise positive decision i think there needs to be some recognition that while a fresh pair of eyes and new ideas can be wise a learning curb slows down progress i felt first hand when an employee ends up needing to pick up a lot of the slack while their new leader gets up to speed or an employee has to spend extra time to get their,70,,,,,,,,,,13,70,,,,,,,,
60,reducing department work to only work on essential areas that provide the business value,52,,,,,,,,,,52,,,,,,,,,
61,recruitment aimed at finding the best candidates based on qualifications such as character chemistry and competency rather than a person s color or gender,2,69,,,,,,,,,2,,,,,,,,,
62,we re slow to keep up with what is acceptable regarding dress codes facial hair appearance related decisions so many companies operate professionally yet allow jeans on fridays,69,,,,,,,,,,,,,,,,,,,
63,chick fil a struggles with competing priorities there is tension between sales and safety our restaurants are operating well beyond the capacity they were designed for and sales are celebrated even if it means compromising our standards to meet the increased volume demand the same tension exists between the speed of service and safety the emphasis on speed causes team members to prioritize speed over safety to meet expectations,4,13,53,54,,,,,,,13,53,,,,,,,,
64,most decisions are made with sales growth as the driver real estate menu promotions etc this can be and is a risk to overly burdensome throughput and capacity constraints for operators food borne illness increase team member fatigue staff frustration at a already high number of high priority things to solve for that can be exasperated with always and forever high growth mindset,4,53,54,,,,,,,,13,53,54,,,,,,,
65,i wish that administrators who desired to pursue promotions or the next role above them had more opportunities to do so it often appears that most others have these opportunities while our roles and the people in them remain stagnant not that the role isn t amazing but that the advancement opportunities do not seem parallel to others in the organization,3,,,,,,,,,,3,,,,,,,,,
66,as someone that works outside of dtt i think our dtt department needs to take more of an ownership role of our technology strategies rather than it being set by business owners the current way decisions are made makes it easy for business owners to become ticket submitters and for our dtt department to become ticket takers this leads to a decentralized technology strategy for restaurants team members operators etc which further complicates the day to day aspects of the restaurant,6,52,53,,,,,,,,52,53,,,,,,,,
67,budget tracking decisions the new system makes it very difficult to track our budget month to month and project to project,6,,,,,,,,,,,,,,,,,,,
68,when moving into new systems and programs leveling workday need more clarity on what some of the key terms and ideas mean,6,12,,,,,,,,,,,,,,,,,,
69,the appointing of people to roles has not always resulted in ideal leadership there is not a safe trusted way for staff to voice concerns or issues about their leadership,70,,,,,,,,,,70,,,,,,,,,
70,we have frequent field staff meetings that seem repetitive i e field staff twice a month monthly atrium talks occasional field talk lives and field operation meetings combined with a lot of corporate communications can some of these meetings be shortened or less frequent,8,,,,,,,,,,,,,,,,,,,
71,chick fil a does not need to rely so heavily on the cdc government recommendations not requirements regarding mask wearing at the support center while the company has stressed equity between the restaurants and the support center there is clearly different expectations for staff health safety compared to our team members,53,,,,,,,,,,53,,,,,,,,,
72,decision making based on specific needs is great however these decisions should not cause new and more advance problems in our restaurants therefore it is imperative that we make decisions with the best and most accurate information available without much haste,53,,,,,,,,,,53,,,,,,,,,
73,i would say the hiring process as i have heard people mention from past experiences the process is too long and as a result good candidates are missed or lost,2,,,,,,,,,,2,,,,,,,,,
74,ability to clearly share the why behind certain decisions to ensure operators and staff are aligned there are times when operators feel like we are moving too slowly to address their needs yet from the support center side there may really valid reasons for that an example here might be canopies or effective cold weather solutions for northern states,12,13,53,,,,,,,,53,,,,,,,,,
75,hiring external candidates into culture shaping positions within chick fil a inc,2,7,,,,,,,,,2,,,,,,,,,
76,decisions to move forward with innovation at a more rapid pace,13,,,,,,,,,,13,,,,,,,,,
77,this isn t really an example but we can improve on our clarity about who in the organization actually owns the decision before new equipment menu items or smallwares hit the restuarant who determines if they fit operationally if they add value to the customer if they add value to the team member or operator or if they create a negative or positive ripple effect to other areas of the business while there are people in place to look at these things there is a lack of clarity about how decisions are made in these areas,12,,,,,,,,,,53,,,,,,,,,
78,implementation of technology,6,,,,,,,,,,6,,,,,,,,,
79,promotions,3,,,,,,,,,,3,,,,,,,,,
80,people leadership decisions the same legacy leaders are bypassing all of the systems put in place to continue making relationally based promotion decisions career interests in workday are still being ignored there are far too many jobs not being posted and people being moved around like pawns on a chess board legacy leaders do things to people without bringing them along in their own career journey they lead like this is a church and people are here to serve in whatever part of the congregation where there is a need and then they ll say they prayed about the decision as if their relationship with god is supposed to carry weight in someone else s life at best this type of decision making is parental and lacks emotional intelligence it negatively impacts morale and productivity and achieves the exact opposite of what we are trying to achieve when we say work for of life and there s no accountability because the system is only as effective as the people in power who oftentimes abuse their power with very good intentions of course,3,70,,,,,,,,,3,70,,,,,,,,
81,middle management layer we are great at making big investments in new innovative restaurant concepts middle management throughout the organization can be slow and sometimes resistant to see the need to invest and allocate resources people and budget to grow newer non traditional restaurant types often budget and people are allocated reserved for the cash cow i e fsr or the disruptive i e little blue menu leaving support and dedication to grow other new concepts i e captive venue food truck delivery kitchen lacking what this causes is for work to pile up on the critical few who are closest to this work and a slowdown in advancing new growing market ecosystem restaurant types,13,54,,,,,,,,,13,53,54,,,,,,,
82,mid level leadership speed of decision making project owners are given direction to lead work and when we get to the point of finalizing work it feels like all of a sudden we need far more input providers than are actually needed and that will either drastically slow work or take it back to the drawing board we need a better process on the front end of work on who the decision makers are and not let our overly collaborative everyone has a voice culture get in the way of speed to market,7,13,70,,,,,,,,13,70,,,,,,,,
83,organizational structure oftentimes we don t know what other departments are working on causing overlapping work or disjointed work,52,,,,,,,,,,52,,,,,,,,,
84,leadership promotions,3,70,,,,,,,,,3,70,,,,,,,,
85,decisions related to the timeframe of reinvestments or project timelines for restaurant capacity challenges,53,54,,,,,,,,,53,54,,,,,,,,
86,internal mobility leadership selection it is still very much biased and even borderline illegal,70,,,,,,,,,,70,,,,,,,,,
87,how to make wise decisions quickly,13,,,,,,,,,,13,,,,,,,,,
88,not so much a decision that needs to improve but the process many inter team decisions are slowed down by trying to solve for every what if and answer everyone s concern or opinion,13,,,,,,,,,,13,,,,,,,,,
89,people leader development and understanding of engagement,70,,,,,,,,,,70,,,,,,,,,
90,make decisions quicker,13,,,,,,,,,,13,,,,,,,,,
91,project launch decisions with minimal cost impact ex rolling out drive thru structures for the seasons they are needed most we seem to be months late because of a minor design detail,53,,,,,,,,,,,,,,,,,,,
92,need to accelerate annual restaurant growth we are not meeting customer demand,53,54,,,,,,,,,53,54,,,,,,,,
93,the speed in which we move on technology related solutions that could help alleviate challenges for team members in the restaurant,6,13,53,,,,,,,,13,53,,,,,,,,
94,how internal work is influenced by the experience operators are having in the field,53,,,,,,,,,,53,,,,,,,,,
95,team member support,53,,,,,,,,,,53,,,,,,,,,
96,people decisions promotions advancements etc,3,,,,,,,,,,3,,,,,,,,,
97,support center technology post pandemic,6,,,,,,,,,,6,,,,,,,,,
98,decisions that touch operators from departments that aren t field facing they are often too complex not considering operator field voice repercussions,52,53,,,,,,,,,52,53,,,,,,,,
99,the it department isn t the most effective or efficient department,52,,,,,,,,,,52,,,,,,,,,
100,including true diversity of thought not just superficial concepts established by race and gender,69,,,,,,,,,,69,,,,,,,,,
101,speed of the decisions for operators need to massively improve really across the board,13,53,,,,,,,,,13,53,,,,,,,,
102,technology platforms and the speed at which we move to these,6,13,,,,,,,,,6,13,,,,,,,,
103,multi restuarant operator decisions,53,,,,,,,,,,53,,,,,,,,,
104,the most recent decision to require staff who travel to document their travel to others states without explaining the reasons behind it i know a lot of people outside of cfa who work for large companies and travel and do not have to document their travel and pay taxes to these states i feel like a decision this significant should have been communicated differently providing more explanation and allowing opportunity for questions,8,,,,,,,,,,,,,,,,,,,
105,we tend to take a consensus based approach to decisions as a result people doing the work often don t have autonomy to make the best decision leaders assume what decisions to make but their assumptions are based on tribal and historical context,70,,,,,,,,,,70,,,,,,,,,
106,promotion decisions do people get promoted anymore it feels like we all have to interview for a higher level the interview process for internal folks is long and frustrating,3,,,,,,,,,,3,,,,,,,,,
107,giving operators more flexibility when it comes to running their location,53,,,,,,,,,,53,,,,,,,,,
108,sideways energy spent over what department controls what resources people,52,,,,,,,,,,52,,,,,,,,,
109,capacity relief solutions to reduce capacity constraints in restaurants,54,,,,,,,,,,53,54,,,,,,,,
110,how to help operators with capacity issues,53,54,,,,,,,,,53,,,,,,,,,
111,we need to empower operators to add resources they need to attract talent if an operator wants to add a self ordering kiosk to offer a different channel of ordering for guests we should support that somehow we are all trying to be innovative build the brand and serve guests where they are,53,,,,,,,,,,53,,,,,,,,,
112,people promotions it is a beauty contest focused on dei,3,,,,,,,,,,3,,,,,,,,,
113,leadership choices for some people decisions,70,,,,,,,,,,70,,,,,,,,,
114,career pathing calibration of employees is not transparent it does feel like efforts have been made to work on this but inconsistencies still exist,3,,,,,,,,,,3,,,,,,,,,
115,we re good we just need to improve decision speed,13,,,,,,,,,,13,,,,,,,,,
116,each leadership level wants meetings with sub groups field operations field staff regions our region areas etc still some unnecessary sign offs from leaders above us who lack the context on decisions,70,,,,,,,,,,70,,,,,,,,,
117,chick fil a can make some improvements on leveling the field for promotional opportunities,3,,,,,,,,,,3,,,,,,,,,
118,corporate leadership we ve become more focused on intelligence and less on wisdom in selecting people leaders as our brand and budgets grow its apparent that we ve become enamored with ivy league degrees while i m in favor of ivy league degrees they re a poor substitute for wisdom,54,70,,,,,,,,,70,,,,,,,,,
119,opportunity to calibrate on mu operator decisions confusion among operators,53,,,,,,,,,,53,,,,,,,,,
120,new technology rollouts especially staff facing,6,,,,,,,,,,6,,,,,,,,,
121,people promotions for years it was a good ole boys club and not merit based it is improving,3,,,,,,,,,,3,,,,,,,,,
122,decisions that affect operators ability to get the chicken sandwich across the counter most effectively,53,,,,,,,,,,53,,,,,,,,,
123,people hiring promotions demotions grievances consequences,3,,,,,,,,,,2,3,,,,,,,,
124,budgetary ability at the area support team level to help speed the decision process for restaurant reinvestment decisions,13,53,,,,,,,,,53,,,,,,,,,
125,people decisions and specifically ensuring the right candidate is selected specifically internal selections where we have the opportunity to access more data from peers and direct reports to find out more about who we are promoting,2,,,,,,,,,,2,,,,,,,,,
126,field communication there are several aspects of decisions that have been made that impact the support center that have been communicated poorly or not at all to our operators this has caused significant disruption in the operating community,8,53,,,,,,,,,53,,,,,,,,,
127,help operators and team members more and faster they need relief like pre filleted chicken and pre chopped romaine lettuce simpler menu faster,13,53,,,,,,,,,13,53,,,,,,,,
128,people decisions it is very obvious diversity over rides getting the right person specifically talking about field operations,69,,,,,,,,,,,,,,,,,,,
129,people decisions it is not clear how to navigate the organization or exactly what is valued in terms of leadership,12,70,,,,,,,,,70,,,,,,,,,
130,deciding when to engage outside consultants versus leveraging talent on staff to facilitate lead and contribute to key business meetings activities we have welcomed hundreds of talented new staff members to the organization with a wealth of relevant business experience who are capable of contributing valuable perspectives and learnings to our current challenges if given more opportunity,2,,,,,,,,,,2,,,,,,,,,
131,leadership selection at middle level,70,,,,,,,,,,70,,,,,,,,,
132,staff career progression,3,,,,,,,,,,3,,,,,,,,,
133,people promotions we tend to promote people too quickly and in many cases for the wrong reasons,3,,,,,,,,,,3,,,,,,,,,
134,strategic decisions like flexibility for people to work away from atlanta mobility speed of it transformation,13,,,,,,,,,,13,,,,,,,,,
135,decisions on site selections too often it seems we leave it up to operators to figure out,53,,,,,,,,,,53,,,,,,,,,
136,who they choose for high level leaders i think leaders slip through that are not ready for the scope of leadership given due to blind spots in their leadership in terms of what it is like to be on the other side of them and how they treat people,70,,,,,,,,,,70,,,,,,,,,
137,decisions that demand customization to the market and or restaurant level,53,,,,,,,,,,53,,,,,,,,,
138,i feel like we do not need to get caught up in the current social confusion and start making decisions on what we think the world wants to see as far as hiring promotions as well as business decisions stay the course corporate purpose always,3,,,,,,,,,,3,,,,,,,,,
139,where we focus our energy and headcount e g we are bleeding and rather than stop the bleeding we are adding pretty clothes and buying new cars for the bleeding person,2,,,,,,,,,,2,,,,,,,,,
140,asset allocation we are overinvesting in growth and underinvesting in building an infrastructure to support the growing business,54,,,,,,,,,,54,,,,,,,,,
141,mixed messages,8,,,,,,,,,,,,,,,,,,,
142,department decisions need to be made more quickly and without the levels of leadership on approval that people in those roles are not as close to the work,13,52,70,,,,,,,,52,70,,,,,,,,
143,department decisions let the sme and leader make the final decision,52,70,,,,,,,,,52,70,,,,,,,,
144,reaching a broader and more diverse audience through regional menu items,69,,,,,,,,,,,,,,,,,,,
145,leadership accountability for objective staff selection decisions need improvement,70,,,,,,,,,,70,,,,,,,,,
146,working a little bit more on the technology aspect to work more efficiently,6,,,,,,,,,,6,,,,,,,,,
147,staff members were asked not to travel during the pandemic which was the right choice i think we need to swing the pendulum and have all staff who are willing and able spend time in restaurants supporting operators,53,,,,,,,,,,53,,,,,,,,,
148,high level communication is good but there are too many available platforms and applications,6,8,,,,,,,,,6,,,,,,,,,
149,some people leadership decisions,70,,,,,,,,,,70,,,,,,,,,
150,people decisions having more diverse leadership teams across all departments,69,70,,,,,,,,,52,70,,,,,,,,
151,decisions relating to employees not doing their jobs or doing them well as an organization even with milestones leaders do not properly address poor performance in a timely manner which leads to others having to pick up the slack and becoming less satisfied with their jobs,70,,,,,,,,,,70,,,,,,,,,
152,decisions that require an exception to the stated policy standard protocol eg opening date hours of operations dining room reopening cfa doesn t have clear decision making practices for who and how to decide when an exception to the standard is needed,12,,,,,,,,,,,,,,,,,,,
153,we don t often have the data we need to make informed decisions for me this is a lack of people and technology resources to get the data we need,6,,,,,,,,,,6,,,,,,,,,
154,internal people assignments and headcount,2,,,,,,,,,,2,,,,,,,,,
155,lower level people leadership decisions,70,,,,,,,,,,70,,,,,,,,,
156,allocating resources head count to teams that really need it,2,,,,,,,,,,2,,,,,,,,,
157,budget and headcounts,2,,,,,,,,,,2,,,,,,,,,
158,people how we select for promotions and allowing people to grow,3,54,,,,,,,,,3,,,,,,,,,
159,employee culture and morale too many meetings is an example,7,,,,,,,,,,7,,,,,,,,,
160,i have growing concern around the number of operators receiving more than one location some of the names and related performance i have seen in the past years that have gotten an additional opportunity have been very surprising to me my impression is that the bar for a second location has been lowered the focus on building more locations more quickly exacerbates this concern not specifically around the growth but around the caliber and performance of the people who will be leading more than one location this used to be a very high bar to meet and it feels like situational circumstances have become a bigger factor than performance and leadership capacity,53,54,,,,,,,,,13,53,54,,,,,,,
161,decision making the larger we get there seems to be more of an emphasis put on holding decisions at higher levels of the organization this works against two things first it slows down productivity and creates frustraion secondly we put a governor an leadership growth by not allowing individuals to own decisions further down the organization this creates an environment of perfectionism that stifles creativity and contributes to group think,13,54,70,,,,,,,,13,54,70,,,,,,,
162,to be able to make decisions quicker,13,,,,,,,,,,13,,,,,,,,,
163,silo operation among department,52,,,,,,,,,,52,,,,,,,,,
164,betting on talent typically the individuals who are promoted are ones who lead up to higher level leaders and may not actually be leading their organizations teams effectively with great examples of culture additionally we so seldom give young talent in our organization high responsibility tasks i fear that we will see a lot of them leave as we take almost no risk on developing talent and focus only on developing the individuals who are tenured in our organization,2,3,,,,,,,,,2,3,,,,,,,,
165,decisions related to senior leadership can often leave people a bit confused there seems to be inconsistency in what qualities are valued and lead to new opportunities for some people versus others generally i think this is reflective of a larger gap on things like promotion career pathing compensation etc and the inconsistencies that occur i think some of this also shows up in how we appoint strategy teams or groups around key initiatives often times it feels like there is a predetermined set of checkboxes we have to meet in order to create a team this leaves people closest to the work from being able to best represent the need for example we might have a team focused on operator experience but when reviewing the team you have no one that s not in some high level of leadership meaning there are limited voices actually working directly with operators how do we get more perspective in strategy teams from people closest to the business,3,53,70,,,,,,,,70,,,,,,,,,
166,chick fil a needs to ensure customers remain a priority,53,,,,,,,,,,53,,,,,,,,,
167,move quicker on decisions,13,,,,,,,,,,13,,,,,,,,,
168,leadership involvement at task level decisions,70,,,,,,,,,,70,,,,,,,,,
169,allowing some of the department and people leaders have more input on staffing for their department letting some of these decisions be made by those closer to the scope of work,2,52,70,,,,,,,,52,70,,,,,,,,
170,following the cultural hot topics,7,,,,,,,,,,,,,,,,,,,
171,communicating and establishing a standard for saving files while encouraging all to go paperless much of my wasted time is spent searching for documents,8,,,,,,,,,,,,,,,,,,,
172,seek to understand impact that decisions initiatives have on others supporting roles and the compounding effect when there are multiple initiatives that impact one area of the organization and no consideration is given for capacity or headcount for the support of all the new work,2,54,,,,,,,,,2,,,,,,,,,
173,fallout or trickle down effect of senior leadership moves,70,,,,,,,,,,70,,,,,,,,,
174,as mentioned previously we often make the right decision in framing the problem which allows us to have great resources coupled with great people to execute outstanding problem solving coupled with average operational execution it would be wise to not conflate the two i ll use the talent reset as the same example great strategic framing of the problem with great investment was conflated in communication as being excellent in operational details when there were a lot of imbalances on execution it was communicated that it was near perfect which led to more stress when individuals saw their actual role not leveled well which could have been managed much better if leadership asked for grace in the certain imperfections dan did ask for grace tim said he reviewed every role and they were almost all perfect as one example a staff member who left with multiple years experience and a top college education who was helping to lead departmental strategy was told she should be happy with the level she received,2,8,,,,,,,,,2,52,,,,,,,,
175,decisions related to technology strategy that can scale with the growing data and analytics needs of the enterprise,6,54,,,,,,,,,6,,,,,,,,,
176,what operators and staff to hire the outcomes are good but it takes a long time to make the decisions,53,,,,,,,,,,53,,,,,,,,,
177,mid level leadership decisions specifically whom is being effective and not as effective as a people leader and ensuring that the men and women across all levels are feeling supported professionally this becomes more and more critical as chick fil a grows into an international brand,54,70,,,,,,,,,70,,,,,,,,,
178,what short term priorities exist we re prioritizing too many things in the short term and there is a lot of inefficiency in coming to agreement on what s important in the short term,4,,,,,,,,,,,,,,,,,,,
179,how to attract and keep the staff and team members i know cfa is doing great but need more work to compete against other big companies,53,,,,,,,,,,53,,,,,,,,,
180,amazing work is stifled because of the way headcount is allocated the process for getting headcount is very bureaucratic growth is outpacing labor capacity for current projects and i feel that current work is not weighted as heavily as needed for determining head count needs and allocation,2,54,,,,,,,,,2,54,,,,,,,,
181,democratic decisions some decisions need to be referred to higher levels of leadership to make a quick decision vs taking too long getting agreement from everyone,13,,,,,,,,,,13,,,,,,,,,
182,more collaboration among departments with set priorities and timelines,4,52,,,,,,,,,52,,,,,,,,,
183,speed of decisions,13,,,,,,,,,,13,,,,,,,,,
184,we have a proliferation of technology we need to make more targeted and substantial investments in a limited set of tools rather than multiple and unconnected technologies that limit our ability to scale,6,,,,,,,,,,6,,,,,,,,,
185,de i decisions as this will help us grow,54,,,,,,,,,,54,,,,,,,,,
186,implementing dei help the business understand what issues cfa is trying to solve for feels like we are doing it because all the others are doing it establishment of race specific resources seems to divide rather than unite why do we ever have to call out race cfa has always treated their staff and operators with honor dignity and respect so what are we solving for,53,69,,,,,,,,,53,,,,,,,,,
187,over the last several years i have seen a departure away from the sharing of the why behind the decisions that are made when i arrived at chick fil a there was no question that the corporate purpose served as our true north it was the filter that decisions at all levels of the business passed through to ensure alignment with our collective why as we have pursued an accelerated growth strategy over the last several years our focus and why seems to have turned more towards sales growth and less towards stewardship and positive influence we observe this in every atrium talk and field talk live where the sales results are highlighted and celebrated because it is what we measure but there is limited mention of the key principle we were built to accomplish to glorify god i recognize we are a for profit business and i am proud to be a part of it i just think we are losing our clarity focus and alignment on why we are working so hard to grow this business so fast and the trade offs that are being made as a result raises concerns,12,13,54,,,,,,,,13,54,,,,,,,,
