Id,Body
54,"Decisions that impact subteams within departments. While a decision at that level may have negative impacts that reach up to the broader enterprise or multi department level, these types of decisions can have strong positive impacts as well. While it is important to weigh these decisions and I respect the process, I have seen and bore witness to these type of decisions being put on hold to deal with other issues. I believe that the company loses more than it gains here. Examples are: decisions to re-level certain roles within a sub department and the decision takes over half a year to approve."
55,"They need to be more consistent in staff selection.  I have seen too many examples of requiring one set of guidelines for one group, only to not require the same of all groups.  For example, a TL needed to provide a 45 min presentation to stay in the same role, but different team.  While another group didn't even interview and a job was never posted but they were awarded big promotions."
57,I think decisions around diversity and inclusion need to continue to evolve.
63,I believe more initiative could be taken in my department (HELP). There have been several changes that have been made by higher levels of leadership that directly affect lower levels. There is a general feeling from the lower levels that decisions about how we manage our daily work are being made FOR us and we are unable to express opinions/make valuable changes/generally control our work.
67,Communicate better between the developers and the Helpdesk
69,"Decisions on rotating schedules for Saturday analysts, since it's still a but unclear"
72,increasing diversity
76,Chick-fil-A could improve upon decision that'll address the talent shortage regarding benefits or pay for team members that'll make Chick-fil-A stand out from the competition. I know many people who are hesitant to work at a Chick-fil-A Restaurant because of the difficulty in operations and the lack of competitive pay/benefits.
81,Provide more growth opportunities
86,"No standard processes, departmental flexibility can lead to inefficiency and inconsistency, as business decisions are made they are not laddered down to specific small teams and individual work."
87,"New or changing technologies - both Restaurant and Staff facing.   Restaurant technology decisions seem to be made too quickly - without enough testing, given the risk and impact to business operations.  Customers, Operators, Team Members, and Staff are impacted operationally but even more importantly, these decisions impact Operator and Customer trust. Staff technology decisions seem to be made too slowly (years in some cases) - too much evaluation given the risks and impacts."
90,listening to operators/restaurants needs and prioritizing what they will find helpful for their restaurants
91,Change management (# of rollouts impacting restaurants at any given time)
93,the timing of initiatives and how it may impact restaurants
96,"More autonomy, trust leaders in selecting right talent"
97,"Mid-level execution of decisions. While major strides have been made, some aspects of a culture of fear of perception persist at Chick-fil-A. Some mid-level people leaders and individual contributors that have been here 5+ years hold on to a mentality that there will be negative consequences for their career growth if they step out or try something and fail."
100,"Chick-fil-A could improve communications to Staff and HELP in particular on new roll outs. That communication could assist with faster service to our Operators, Team Members, Restaurants and overall the end Customers."
101,"Chick-fil-A needs to improve on communication across all departments, regarding issues, roll-outs, initiatives, updates, changes, etc."
103,"Promotional decisions can sometimes favor relationships over work ethic and experience. If you know the right people, you have a clear advantage over those who don't."
105,Chick-fil-A should continue to improve the diversity of its people to continue to reflect the customers that we serve.
113,The length of the interview process for internal candidates needs to be overhauled. I have personally interviewed for several roles and the culture fit questions can be reduced if the candidate has already joined the organization.
118,"Agile decisions. We've been trying to implement agile for a while, but decisions continually get bottlenecked at higher levels."
120,CSM user friendliness is not the best - lots of bugs and glitches and outside platforms needed to do the HELP Online job
122,"Decisions around minimizing waste and red tape as we grow larger, working to keep us as close to a ""small business"" as possible."
123,Chick-fil-A could improve on decisions around the overall meeting culture and help to facilitate a more productive culture around meetings.
125,People leadership selection and oversight
126,a little less traditional in the corporate environment and instead embrace uniqueness in cultural celebrations (have festivities on-site for different cultural days).
128,Diversity and DEI - moving swiftly and taking a stand when necessary.
130,"Decision to prioritize, reorganize, and fund changes to the organization so that we are fully responsive to the Operators.  We are still too siloed."
132,Seek staff feedback on vendors and track feedback to learn if the vendor is the best fit for our growing company
135,"Decision making speed. Well thought out decisions take a long time to process, and I applaud CFA for this 90% of the time. However, some decisions (like moving my team from IT Analyst I to IT Analyst II) has been in the works for years. This decision could have been made in 4-8 weeks."
136,"How to support diversity of race, ethnicity, etc but keep our shared values and faith-based culture."
138,Accountability for leaders to align work and find a common vision across similar/overlapping change initiatives.
140,"I personally feel Chick-fil-A needs to improve their decisions at times when choosing to move leaders around the business. While I feel there is most certainly a need for this at times, sometimes it feels like we are just doing it to do it, rather than it really being a wise, positive decision. I think there needs to be some recognition that while a fresh pair of eyes and new ideas can be wise, a learning curb slows down progress. I felt first hand when an employee ends up needing to pick up a lot of the slack while their new leader gets up to speed, or an employee has to spend extra time to get their"
142,Reducing department work to only work on essential areas that provide the business value.
143,"Recruitment aimed at finding the best candidates based on qualifications such as character, chemistry and competency rather than a person's color or gender."
144,"We're slow to keep up with what is acceptable regarding dress codes, facial hair, appearance related decisions. So many companies operate professionally yet allow jeans on Fridays."
146,Chick-fil-A struggles with competing priorities.  There is tension between sales and safety.  Our Restaurants are operating well beyond the capacity they were designed for and sales are celebrated even if it means compromising our standards to meet the increased volume demand.  The same tension exists between the speed of service and safety.  The emphasis on speed causes Team Members to prioritize speed over safety to meet expectations.
148,"Most decisions are made with sales/growth as the driver (real estate, menu, promotions, etc.) . This can be and is a risk to overly burdensome throughput and capacity constraints for Operators, food-borne illness increase, team member fatigue, Staff frustration at a already high-number of ""high priority"" things to solve for that can be exasperated with always and forever high growth mindset."
149,"I wish that Administrators who desired to pursue promotions or the next role ""above them"" had more opportunities to do so. It often appears that most others have these opportunities while our roles (and the people in them) remain stagnant. Not that the role isn't amazing, but that the advancement opportunities do not seem parallel to others in the organization."
152,"As someone that works outside of DTT, I think our DTT department needs to take more of an ownership role of our technology strategies rather than it being set by business owners. The current way decisions are made makes it easy for business owners to become ""ticket submitters"" and for our DTT department to become ""ticket takers"". This leads to a decentralized technology strategy for restaurants, team members, Operators, etc. which further complicates the day-to-day aspects of the restaurant."
153,Budget tracking decisions - the new system makes it very difficult to track our budget month-to-month and project-to-project.
156,When moving into new systems and programs (Leveling & Workday) need more clarity on what some of the key terms and ideas mean
158,"The ?appointing? of people to roles has not always resulted in ideal leadership. There is not a safe, trusted way for Staff to voice concerns or issues about their Leadership."
159,"We have frequent Field staff meetings that seem repetitive (i.e. Field Staff twice a month, monthly Atrium talks, occasional Field Talk Lives and Field Operation meetings) combined with a lot of Corporate communications. Can some of these meetings be shortened or less frequent?"
160,"Chick-fil-A does not need to rely so heavily on the CDC/government recommendations (not requirements) regarding mask wearing at the Support Center. While the company has stressed equity between the Restaurants and the Support Center, there is clearly different expectations for staff health & safety compared to our Team Members."
161,"Decision making based on specific needs is great, however these decisions should not cause new and more advance problems in our restaurants. Therefore it is imperative that we make decisions with the best and most accurate information available without much haste."
163,"I would say the hiring process as I have heard people mention from past experiences, the process is too long, and as a result, good candidates are missed or lost."
165,"Ability to clearly share the why behind certain decisions to ensure Operators and Staff are aligned. There are times when Operators feel like we are moving too slowly to address their needs, yet from the Support Center side there may really valid reasons for that. An example here might be canopies or effective cold weather solutions for northern states."
167,Hiring external candidates into culture shaping positions within Chick-fil-A Inc.
168,Decisions to move forward with innovation at a more rapid pace
170,"This isn't really an example, but we can improve on our clarity about who in the organization actually owns the decision. Before new equipment, menu items, or smallwares hit the Restuarant - who determines if they fit operationally, if they add value to the customer, if they add value to the Team Member or Operator, or if they create a negative or positive ripple effect to other areas of the business. While there are people in place to look at these things, there is a lack of clarity about how decisions are made in these areas."
171,Implementation of technology
174,Promotions
175,"People leadership decisions - The same legacy leaders are bypassing all of the systems put in place to continue making relationally-based promotion decisions.  Career interests in workday are still being ignored, there are far too many jobs not being posted and people being moved around like pawns on a chess board.  Legacy leaders do things to people without bringing them along in their own career journey.  They lead like this is a church and people are here to serve in whatever part of the ""congregation"" where there is a need.  And then they'll say they prayed about the decision as if their relationship with God is supposed to carry weight in someone else's life.  At best, this type of decision making is parental and lacks emotional intelligence.  It negatively impacts morale and productivity and achieves the exact opposite of what we are trying to achieve when we say work for of life.  And, there's no accountability because the system is only as effective as the people in power who oftentimes abuse their power with very good intentions, of course."
176,"Middle-management layer:  we are great at making big investments in new innovative restaurant concepts.  Middle management throughout the organization can be slow (and sometimes resistant) to see the need to invest and allocate resources (people and budget) to grow newer non-traditional restaurant types.  Often budget and people are allocated/reserved for the ""cash cow"" (i.e. FSR) or the ""disruptive"" (i.e. Little Blue Menu) leaving support and dedication to grow other new concepts (i.e. Captive Venue, Food Truck, Delivery Kitchen) lacking.  What this causes is for work to pile up on the critical few who are closest to this work and a slowdown in advancing new/growing Market Ecosystem restaurant types."
177,"Mid-level leadership speed of decision making. Project owners are given direction to lead work and when we get to the point of finalizing work, it feels like all of a sudden we need far more input providers than are actually needed and that will either drastically slow work or take it back to the drawing board.  We need a better process on the front end of work on WHO the decision makers are, and not let our overly collaborative ""everyone has a voice"" culture get in the way of speed to market."
178,"Organizational Structure - Oftentimes, we don't know what other departments are working on, causing overlapping work or disjointed work"
179,Leadership promotions
180,Decisions related to the timeframe of reinvestments or project timelines for  restaurant capacity challenges.
182,Internal mobility / leadership selection - it is still very much biased and even borderline illegal
184,How to make wise decisions quickly.
185,"Not so much a decision that needs to improve but the process. Many inter-team decisions are slowed down by trying to solve for every ""what if"" and answer everyone's concern or opinion."
189,People leader development and understanding of engagement.
190,Make decisions quicker.
191,Project launch decisions with minimal cost impact (ex: rolling out Drive-Thru structures for the seasons they are needed most - we seem to be 1-2 months late because of a minor design detail)
192,Need to accelerate annual restaurant growth. We are not meeting customer demand.
193,The speed in which we move on technology related solutions that could help alleviate challenges for Team Members in the restaurant.
194,How internal work is influenced by the experience Operators are having in the field
196,Team member support
201,"People decisions (promotions, advancements, etc.)"
202,Support Center technology post-pandemic
203,"Decisions that touch Operators from departments that aren't field facing-they are often too complex, not considering Operator & field voice/repercussions"
204,The IT department isn't the most effective or efficient department.
206,Including true diversity of thought. Not just superficial concepts established by race and gender.
207,Speed of the decisions for Operators need to massively improve. Really across the board.
212,technology/platforms and the speed at which we move to these
213,Multi-Restuarant Operator Decisions
214,"The most recent decision to require staff who travel, to document their travel to others states, without explaining the reasons behind it.  I know a lot of people outside of CFA who work for large companies and travel, and do not have to document their travel and pay taxes to these states.  I feel like a decision this significant should have been communicated differently; providing more explanation and allowing opportunity for questions."
215,"We tend to take a consensus based approach to decisions.  As a result, people doing the work often don't have autonomy to make the best decision.  Leaders assume what decisions to make, but their assumptions are based on tribal and historical context."
216,Promotion decisions. Do people get promoted anymore? It feels like we all have to interview for a higher level. The interview process for internal folks is long and frustrating.
217,Giving Operators more flexibility when it comes to running their location.
218,Sideways energy spent over what department controls what (resources / people).
219,"Capacity relief, solutions to reduce capacity constraints in restaurants"
221,How to help Operators with capacity issues.
222,"We need to empower Operators to add resources they need to attract talent.  If an Operator wants to add a self-ordering kiosk to offer a different channel of ordering for guests, we should support that somehow.  We are all trying to be innovative, build the brand, and serve guests where they are."
225,People - Promotions -- it is a beauty contest focused on DE&I
226,Leadership choices for some people decisions
227,"Career pathing & calibration of employees is not transparent. It does feel like efforts have been made to work on this, but inconsistencies still exist."
229,We're good.  We just need to improve decision speed.
231,"Each leadership level wants meetings with sub groups-- Field Operations, Field Staff, Regions, our region, areas, etc. Still some unnecessary sign offs from ""leaders"" above us who lack the context on decisions"
232,Chick-fil-A can make some improvements on leveling the field for promotional opportunities.
233,"Corporate leadership.  We've become more focused on ""intelligence""and less on ""wisdom"" in selecting people leaders.  As our brand and budgets grow, its apparent that we've become enamored with ""ivy league degrees"".  While I'm in favor of ivy league degrees, they're a poor substitute for wisdom."
234,Opportunity to calibrate on MU Operator decisions.  Confusion among Operators
235,"New technology rollouts, especially staff facing"
237,People promotions - for years it was a good ole boys club and not merit based. It is improving.
238,Decisions that affect Operators' ability to get the chicken sandwich across the counter most effectively.
239,"People: Hiring, Promotions, Demotions, Grievances, Consequences"
241,Budgetary ability at the Area Support Team level to help speed the decision process for restaurant reinvestment decisions.
246,People decisions and specifically ensuring the right candidate is selected. Specifically internal selections where we have the opportunity to access more data from peers and direct reports to find out more about who we are promoting.
247,Field Communication - There are several aspects of decisions that have been made that impact the Support Center that have been communicated poorly or not at all to our Operators. This has caused significant disruption in the operating community.
248,"Help Operators and team members more and faster.  They need relief, like pre filleted chicken and pre chopped romaine lettuce.  Simpler menu faster."
250,People decisions - it is very obvious diversity over rides getting the right person - specifically talking about field operations
251,People Decisions - it is not clear how to navigate the organization or exactly what is valued in terms of leadership
252,"Deciding when to engage outside consultants versus leveraging talent on staff to facilitate, lead and contribute to key business meetings/activities. We have welcomed hundreds of talented new staff members to the organization with a wealth of relevant business experience who are capable of contributing valuable perspectives and learnings to our current challenges if given more opportunity."
254,Leadership selection at middle level
255,Staff Career Progression
257,People promotions - we tend to promote people too quickly and in many cases for the wrong reasons.
259,"Strategic decisions like flexibility for people to work away from Atlanta. Mobility, speed of IT transformation."
261,Decisions on site selections. Too often it seems we leave it up to Operators to figure out.
262,Who they choose for high level leaders.  I think leaders slip through that are not ready for the scope of leadership given due to blind spots in their leadership in terms of what it is like to be on the other side of them and how they treat people.
265,Decisions that demand customization to the market and/or Restaurant level
267,"I feel like we do not need to get caught up in the current social confusion and start making decisions on what we think the world wants to see as far as hiring, promotions as well as business decisions.  Stay the course!  Corporate Purpose always."
269,"Where we focus our energy and headcount e.g. we are bleeding and rather than stop the bleeding, we are adding pretty clothes and buying new cars for the bleeding person."
273,Asset allocation - we are overinvesting in growth and underinvesting in building an infrastructure to support the growing business
274,Mixed messages
275,Department decisions need to be made more quickly and without the levels of leadership on approval that people in those roles are not as close to the work.
276,Department decisions (let the SME and leader make the final decision)
278,Reaching a broader and more diverse audience through regional menu items.
279,Leadership accountability for objective staff selection decisions need improvement
281,Working a little bit more on the technology aspect to work more efficiently.
282,"Staff members were asked not to travel during the pandemic, which was the right choice. I think we need to swing the pendulum and have all staff (who are willing and able) spend time in restaurants supporting Operators."
284,"High level communication is good, but there are too many available platforms and applications."
285,Some People Leadership decisions
288,People decisions. Having more diverse leadership teams across all departments.
290,"Decisions relating to employees not doing their jobs or doing them well. As an organization, even with Milestones, leaders do not properly address poor performance in a timely manner, which leads to others having to pick up the slack and becoming less satisfied with their jobs."
291,Decisions that require an exception to the stated policy/standard protocol  Eg  - opening date  - hours of operations  - dining room reopening.  CFA doesn?t have clear decision making practices for who and how to decide when an exception to the standard is needed.
296,We don't often have the data we need to make informed decisions. For me this is a lack of people and technology resources to get the data we need.
298,Internal people assignments and headcount.
299,Lower-level people leadership decisions
300,allocating resources (head count) to teams that really need it.
302,Budget and headcounts
303,People - How we select for promotions and allowing people to grow.
304,Employee culture and morale - Too many meetings is an example
309,"I have growing concern around the number of Operators receiving more than one location. Some of the names (and related performance) I have seen in the past 1-2 years that have gotten an additional opportunity have been very surprising to me. My impression is that the bar for a second location has been lowered. The focus on building more locations more quickly exacerbates this concern - not specifically around the growth, but around the caliber and performance of the people who will be leading more than one location. This used to be a very high bar to meet, and it feels like situational circumstances have become a bigger factor than performance and leadership capacity."
310,"1. Decision making. The larger we get, there seems to be more of an emphasis put on holding decisions at higher levels of the organization. This works against two things. First, it slows down productivity and creates frustraion. Secondly, we put a governor an leadership growth, by not allowing individuals to own decisions further down the organization. This creates an environment of ""perfectionism"" that stifles creativity and contributes to group think."
312,To be able to make decisions quicker.
313,Silo operation among department
314,"Betting on Talent - Typically the individuals who are promoted are ones who lead up to higher level leaders and may not actually be leading their organizations/teams effectively with great examples of culture.  Additionally, we so seldom give young talent in our organization high responsibility tasks, I fear that we will see a lot of them leave as we take almost no risk on developing talent and focus only on developing the individuals who are tenured in our organization."
316,"Decisions related to senior leadership can often leave people a bit confused. There seems to be inconsistency in what qualities are valued and lead to new opportunities for some people versus others. Generally I think this is reflective of a larger gap on things like promotion, career pathing, compensation, etc. and the inconsistencies that occur. I think some of this also shows up in how we appoint strategy teams or groups around key initiatives. Often times it feels like there is a predetermined set of checkboxes we have to meet in order to create a team. This leaves people closest to the work from being able to best represent the need. For example, we might have a team focused on Operator Experience, but when reviewing the team you have no one that's not in some high level of leadership meaning there are limited voices actually working directly with Operators. How do we get more perspective in strategy teams from people closest to the business?"
317,Chick-fil-A needs to ensure Customers remain a priority.
319,Move quicker on decisions.
320,Leadership involvement at task level decisions.
324,Allowing some of the department and people leaders have more input on staffing for their department.  Letting some of these decisions be made by those closer to the scope of work.
325,following the cultural hot topics
326,Communicating and establishing a standard for saving files while encouraging all to go paperless.  Much of my wasted time is spent searching for documents.
331,Seek to understand impact that decisions/initiatives have on others/supporting roles?.and the compounding effect when there are multiple initiatives that impact one area of the organization and no consideration is given for capacity or headcount for the support of all the new work.
333,Fallout or trickle down effect of senior leadership moves
334,"As mentioned previously, we often make the right decision in framing the problem which allows us to have great resources coupled with great people to execute outstanding problem solving coupled with average operational execution. It would be wise to not conflate the two. I'll use the Talent reset as the same example. Great strategic framing of the problem with great investment was conflated in communication as being excellent in operational details, when there were a lot of imbalances on execution. It was communicated that it was near perfect which led to more stress when individuals saw their actual role not leveled well, which could have been managed much better if leadership asked for grace in the certain imperfections (Dan did ask for grace, Tim said he reviewed every role and they were almost all perfect). As one example, a staff member (who left) with multiple years experience and a top college education who was helping to lead departmental strategy was told she should be happy with the level 2 she received."
336,Decisions related to technology strategy that can scale with the growing data and analytics needs of the enterprise
338,What operators and staff to hire?  The outcomes are good but it takes a long time to make the decisions.
340,Mid-level Leadership Decisions.   Specifically whom is being effective and not as effective as a people leader and ensuring that the men and women across all levels are feeling supported professionally.  This becomes more and more critical as Chick-fil-A grows into an international brand.
341,"What short-term priorities exist. We're prioritizing too many things in the short term, and there is a lot of inefficiency in coming to agreement on what's important in the short term."
343,"How to attract and keep the staff and team members (I know CFA is doing great, but need more work to compete against other big companies)"
345,"Amazing work is stifled because of the way headcount is allocated. The process for getting headcount is very bureaucratic. Growth is outpacing labor capacity for current projects, and I feel that current work is not weighted as heavily as needed for determining head count needs and allocation."
347,Democratic decisions - some decisions need to be referred to higher levels of leadership to make a quick decision vs taking too long getting agreement from everyone
348,More collaboration among departments with set priorities and timelines
349,Speed of decisions
359,"We have a proliferation of technology - we need to make more targeted and substantial investments in a limited set of tools, rather than multiple and unconnected technologies that limit our ability to scale."
360,DE&I decisions as this will help us grow
362,"Implementing DEI.  Help the business understand what issues CFA is trying to solve for.  Feels like we are doing it because all the ""others"" are doing it.  Establishment of ""race specific"" resources seems to divide rather than unite.  Why do we ever have to call out ""race?""  CFA has always treated their staff and Operators with honor, dignity and respect...so what are we solving for?"
368,"Over the last several years, I have seen a departure away from the sharing of the ""why"" behind the decisions that are made.  When I arrived at Chick-fil-A, there was no question that the Corporate Purpose served as our true north. It was the filter that decisions at all levels of the business passed through to ensure alignment with our collective ""why"".  As we have pursued an accelerated growth strategy over the last several years, our focus and ""why"" seems to have turned more towards sales growth and less towards stewardship and positive influence.  We observe this in every Atrium Talk and Field Talk Live where the sales results are highlighted and celebrated (because it is what we measure) but there is limited mention of the key principle we were built to accomplish...""to glorify God"".  I recognize we are a ""for profit business"", and I am proud to be a part of it.  I just think we are losing our clarity, focus and alignment on ""why"" we are working so hard to grow this business so fast, and the trade-offs that are being made as a result raises concerns."
371,Little Blue Menu felt like a last minute add-on that threw a lot of departments into a tailspin and added a ton of work without any additional capacity.  The speed in which we dove head-first into that without seemingly thinking through the pitfalls and risks was unnecessary and caused a lot of headaches.  When work like this gets thrust onto departments there are necessary trade-offs that occur in order to meet the demands of the business.  My question is what possibly fell through the cracks or didn't get completed as a result of the LBM initiative?  Or did nothing fall through because we have such high performing Teams and did families suffer due to long work hours to make it happen?  It would be a great post-mortem conversation at some point.
374,"Real Estate Location - we are building in very dangerous/high-risk areas. We place the brand, Operators, and Team members at a dangerous crossroads when we make real estate decisions without considering crime trends. Our approach seems to be ""this area will be good in 5 or 10 years"" but the time it takes to get there is dangerous to say the least. Why not buy the land and sit on it?  We have to get better here."
376,"Safety is a top priority of CFA and definitely should be, but sometimes the COVID protocols can be so strict, that it deters people from coming into the office."
382,Promotions/TMS has unintended consequences and the process is inefficient.
399,People leader hires
404,"Promotion decisions still seem very subjective despite efforts to create structure around them. Exceptions are still made for some and not others, leading Staff to believe favoritism exists."
411,Timing of departmental reorganizations
412,Clarity and consistency around promotions and career path opportunities
413,"Project Staffing - While I understand it often does not make sense to hire a full-time person for a project, CFA needs to be willing to hire temporary help for projects.  We cannot continue to dangerously over-extend our current employees during a project by expecting them to perform project work on top of their current job."
414,The systems and administatative process need to be upgraded.  Accouting close very slow process.
417,"Focusing more on strong execution of work. We tend to prioritize strategy as a company (which is great and necessary!), but we often minimize the importance of executing it well. This can be seen in the planning process as there is lots of thought about how we will conduct the process and structure bodies of work, but the measurement of metrics and performance on the backend is very limited."
419,"Speed and clarity of decision-making at the Support Center for decisions that are more ""back of house"" and not restaurant/customer facing"
421,Traffic flow into the SC.  I know this is not completely a CFA issue.  It would help if we had entrance and exit ramps west on South Fulton pkwy to ease the traffic issue.  Seems like additional ramps would help CFA and the community.  As CFA keeps growing the traffic will potentially get worse.
423,People/promotion decisions and fairness
424,Chick-fil-A needs to improve the speed at which it decides on Staff promotions.
426,"Decisions around family care support. It was a poor decision to end the family care reimbursement when the waiting list at the JCCC is so large. Following that announcement with comments like ""the Support Center is open. You can come back"" clearly indicates the lack of awareness around the complexities of childcare during this time."
429,"As CFA grows, I like the idea of being able to move to a new city in the future. Right now it seems like I have to choose CFA over a new location."
432,"Which Department owns decisions, especially as it relates to international matters."
437,"Clearly sharing information about upcoming changes.  In this case, I am referring specifically to Little Blue Menu.  Because it is such an outside of the box kind of venture, it was difficult to clearly understand what it was.  I have been hearing bits and pieces of it over the past few months but I didn't fully understand what it was until just recently."
440,"Organizational changes are communicated at the last minute, and often leave departments questioning the overall impact. There could be more transparency in how/why these decisions are made and what it means for others."
443,"I do not think it's Chick-fil-A as a whole, but our department (Tax) could do a better job when hiring/promoting skilled staff. Our department's morale is down due to this. We have People Leaders that do not have the necessary People Leader skills and sometimes, do not have the technical skills either. Some staff are frustrated and strongly have considered leaving. Leadership has hired friends/acquaintances that aren't adequately equipped and placed them in leadership positions. Feedback has been provided in the past, but there seems to be no accountability from Leadership when People Leaders are not meeting expectations. If we are struggling as staff due to a lack of leadership skills, there needs to be a conversation/action."
452,There needs to be improvements in staff recruitment and ultimate hiring decisions.
453,Defining career path for staff.
454,Sometimes systems are put into place before sufficient testing and time and energy may be wasted in transferring to new system or coordinating systems.
456,"International - too quick, unorganized, trying to go international for  the sake of going international especially when there is so much white space domestically"
457,Pace of growth
458,People/leadership positions - putting people in the wrong positions that they're not equipped for
460,"In my opinion, hiring and promotion decisions are still made in a biased way, therefore, the best person for the job isn't always the person that has filled the role.  I have seen this particularly in people leadership roles and teams have and are currently suffering because of it."
470,"We have low skills, and tolerance, for stopping unnecessary work.  Priorities change, that is part of doing business.  But we are not good at stopping things when the new urgent project becomes the priority.  Stakeholders still expect their ""important"" project to get done, and we maintain a culture of high responsibility, so we have staff that try to do it all.  When is the last time the EC, or officers, talked about work that we should STOP doing when new projects are lobbed into the mix?  I'm trying to think of a celebration where we talked about what we did not do when our priorities shifted?"
483,Some decisions are made quickly (or so it seems) and then dropped and we move in a different direction.  Some decisions need more of a long term view.
486,The speed of hires
489,Timely communications and transparency of message
490,"Speed of making decisions.  Leadership should provide clear direction on how to get a decision made and make the decision.   Leadership should say, ""let's start at A, move to B, then C, and then final decision a D"".  Often times its left up to lower levels of staff to identify how to navigate the decision making process."
491,It takes a very long time for decisions to be made on system improvements (i.e. restaurant payroll system replacement)
492,"Large, strategic shifts that impact multiple departments - Selection of new international markets. It seems like a market is selected without input or consideration from impacted teams."
495,Business Process and Mindset Shifts to enable us to use available technology to it's full potential.
496,"When changing staff's Supervisor, more time needs to be devoted explanation and considering of staff.  A quick decision can make staff feel unsettled and unimportant.  Staff and Supervisors create a bond and when that is taken away, quickly, it hard!!!"
499,Be more mindful when placing someone in a leadership role. Friendship should not play a part in role placement.
503,Decisions around technology.  The recent conversion to Cloud is a great example.  We were not as prepared as we should have been and there are numerous problems and issues that are still being worked out 3 months later.
506,"I think we could stand to improve the speed at which we make some critical business decisions, such as going International."
512,"Internal, business decisions seem to get hung up in bureaucracy and struggle due to lack of coordination across departments. For example, other teams / individuals across the business are starting to do the work that my team is supposed to be leading. It's an internal business process - it's not core to to our business or brand but is purely a business operations function. At some point, leadership just needs to set the strategy, across the business, surrounding this function and help each team figure out their specific role in the process. It's not rocket science!"
514,Decisions that impact different parts of the business.  There are often circumstances/decisions that appear to happen in silos to where we lose full benefit of leveraging opportunity across departments.
516,What products to roll out to customers
519,Process for getting answers to project guidance quicker.
520,Need to clarify strategy or communicate when a strategy changes.  We ended up opening temporary restaurants in UK in order to protect our trademarks because we were unable to find a partner deal that was satisfactory for both parties.  Now I'm hearing that we are going back to the UK.
