,Id,Body,Clean_Body,tags
22,52,"Ability to performance-manage staff effectively.  Legal makes it nearly impossible to offboard talent that is underperforming or actually damaging the morale of the team.  We must get comfortable that as fast as we are growing, we are going to make some wrong hires or that people may even take a wrong turn in their careers and not everyone is on the right ""bus"".",ability to performance manage staff effectively legal makes it nearly impossible to offboard talent that is underperforming or actually damaging the morale of the team we must get comfortable that as fast as we are growing we are going to make some wrong hires or that people may even take a wrong turn in their careers and not everyone is on the right bus,[ 2 54]
23,53,Diversity of Upper Level Leadership,diversity of upper level leadership,[70 69]
24,54,There are lots of growth at Chick-fil-A around making things better. the current discussion around knowing about new initiative to enhance career and promotions.,there are lots of growth at chick fil a around making things better the current discussion around knowing about new initiative to enhance career and promotions,[54  3]
25,55,"Decisions that impact subteams within departments. While a decision at that level may have negative impacts that reach up to the broader enterprise or multi department level, these types of decisions can have strong positive impacts as well. While it is important to weigh these decisions and I respect the process, I have seen and bore witness to these type of decisions being put on hold to deal with other issues. I believe that the company loses more than it gains here. Examples are: decisions to re-level certain roles within a sub department and the decision takes over half a year to approve.",decisions that impact subteams within departments while a decision at that level may have negative impacts that reach up to the broader enterprise or multi department level these types of decisions can have strong positive impacts as well while it is important to weigh these decisions and i respect the process i have seen and bore witness to these type of decisions being put on hold to deal with other issues i believe that the company loses more than it gains here examples are decisions to re level certain roles within a sub department and the decision takes over half a year to approve,[52]
26,56,"They need to be more consistent in staff selection.  I have seen too many examples of requiring one set of guidelines for one group, only to not require the same of all groups.  For example, a TL needed to provide a 45 min presentation to stay in the same role, but different team.  While another group didn't even interview and a job was never posted but they were awarded big promotions.",they need to be more consistent in staff selection i have seen too many examples of requiring one set of guidelines for one group only to not require the same of all groups for example a tl needed to provide a min presentation to stay in the same role but different team while another group didn t even interview and a job was never posted but they were awarded big promotions,[3]
27,58,I think decisions around diversity and inclusion need to continue to evolve.,i think decisions around diversity and inclusion need to continue to evolve,[69]
28,64,I believe more initiative could be taken in my department (HELP). There have been several changes that have been made by higher levels of leadership that directly affect lower levels. There is a general feeling from the lower levels that decisions about how we manage our daily work are being made FOR us and we are unable to express opinions/make valuable changes/generally control our work.,i believe more initiative could be taken in my department help there have been several changes that have been made by higher levels of leadership that directly affect lower levels there is a general feeling from the lower levels that decisions about how we manage our daily work are being made for us and we are unable to express opinions make valuable changes generally control our work,[70 52]
29,68,Communicate better between the developers and the Helpdesk,communicate better between the developers and the helpdesk,[8]
30,70,"Decisions on rotating schedules for Saturday analysts, since it's still a but unclear",decisions on rotating schedules for saturday analysts since it s still a but unclear,[12]
31,73,increasing diversity,increasing diversity,[69]
32,77,Chick-fil-A could improve upon decision that'll address the talent shortage regarding benefits or pay for team members that'll make Chick-fil-A stand out from the competition. I know many people who are hesitant to work at a Chick-fil-A Restaurant because of the difficulty in operations and the lack of competitive pay/benefits.,chick fil a could improve upon decision that ll address the talent shortage regarding benefits or pay for team members that ll make chick fil a stand out from the competition i know many people who are hesitant to work at a chick fil a restaurant because of the difficulty in operations and the lack of competitive pay benefits,[53  2]
33,82,Provide more growth opportunities,provide more growth opportunities,[54]
34,87,"No standard processes, departmental flexibility can lead to inefficiency and inconsistency, as business decisions are made they are not laddered down to specific small teams and individual work.",no standard processes departmental flexibility can lead to inefficiency and inconsistency as business decisions are made they are not laddered down to specific small teams and individual work,[52]
35,88,"New or changing technologies - both Restaurant and Staff facing.   Restaurant technology decisions seem to be made too quickly - without enough testing, given the risk and impact to business operations.  Customers, Operators, Team Members, and Staff are impacted operationally but even more importantly, these decisions impact Operator and Customer trust. Staff technology decisions seem to be made too slowly (years in some cases) - too much evaluation given the risks and impacts.",new or changing technologies both restaurant and staff facing restaurant technology decisions seem to be made too quickly without enough testing given the risk and impact to business operations customers operators team members and staff are impacted operationally but even more importantly these decisions impact operator and customer trust staff technology decisions seem to be made too slowly years in some cases too much evaluation given the risks and impacts,[53 13  6]
36,91,listening to operators/restaurants needs and prioritizing what they will find helpful for their restaurants,listening to operators restaurants needs and prioritizing what they will find helpful for their restaurants,[53  4]
37,92,Change management (# of rollouts impacting restaurants at any given time),change management of rollouts impacting restaurants at any given time,[53]
38,94,the timing of initiatives and how it may impact restaurants,the timing of initiatives and how it may impact restaurants,[53]
39,97,"More autonomy, trust leaders in selecting right talent",more autonomy trust leaders in selecting right talent,[ 2 70]
40,98,"Mid-level execution of decisions. While major strides have been made, some aspects of a culture of fear of perception persist at Chick-fil-A. Some mid-level people leaders and individual contributors that have been here 5+ years hold on to a mentality that there will be negative consequences for their career growth if they step out or try something and fail.",mid level execution of decisions while major strides have been made some aspects of a culture of fear of perception persist at chick fil a some mid level people leaders and individual contributors that have been here years hold on to a mentality that there will be negative consequences for their career growth if they step out or try something and fail,[54 70  3  7]
41,101,"Chick-fil-A could improve communications to Staff and HELP in particular on new roll outs. That communication could assist with faster service to our Operators, Team Members, Restaurants and overall the end Customers.",chick fil a could improve communications to staff and help in particular on new roll outs that communication could assist with faster service to our operators team members restaurants and overall the end customers,[53  8]
42,102,"Chick-fil-A needs to improve on communication across all departments, regarding issues, roll-outs, initiatives, updates, changes, etc.",chick fil a needs to improve on communication across all departments regarding issues roll outs initiatives updates changes etc,[52  8]
43,104,"Promotional decisions can sometimes favor relationships over work ethic and experience. If you know the right people, you have a clear advantage over those who don't.",promotional decisions can sometimes favor relationships over work ethic and experience if you know the right people you have a clear advantage over those who don t,[3]
44,106,Chick-fil-A should continue to improve the diversity of its people to continue to reflect the customers that we serve.,chick fil a should continue to improve the diversity of its people to continue to reflect the customers that we serve,[69]
45,114,The length of the interview process for internal candidates needs to be overhauled. I have personally interviewed for several roles and the culture fit questions can be reduced if the candidate has already joined the organization.,the length of the interview process for internal candidates needs to be overhauled i have personally interviewed for several roles and the culture fit questions can be reduced if the candidate has already joined the organization,[2 7]
46,119,"Agile decisions. We've been trying to implement agile for a while, but decisions continually get bottlenecked at higher levels.",agile decisions we ve been trying to implement agile for a while but decisions continually get bottlenecked at higher levels,[70]
47,121,CSM user friendliness is not the best - lots of bugs and glitches and outside platforms needed to do the HELP Online job,csm user friendliness is not the best lots of bugs and glitches and outside platforms needed to do the help online job,[6]
48,123,"Decisions around minimizing waste and red tape as we grow larger, working to keep us as close to a ""small business"" as possible.",decisions around minimizing waste and red tape as we grow larger working to keep us as close to a small business as possible,[54]
49,124,Chick-fil-A could improve on decisions around the overall meeting culture and help to facilitate a more productive culture around meetings.,chick fil a could improve on decisions around the overall meeting culture and help to facilitate a more productive culture around meetings,[7]
50,126,People leadership selection and oversight,people leadership selection and oversight,[70]
51,127,a little less traditional in the corporate environment and instead embrace uniqueness in cultural celebrations (have festivities on-site for different cultural days).,a little less traditional in the corporate environment and instead embrace uniqueness in cultural celebrations have festivities on site for different cultural days,[ 7 69]
52,129,Diversity and DEI - moving swiftly and taking a stand when necessary.,diversity and dei moving swiftly and taking a stand when necessary,[69]
53,131,"Decision to prioritize, reorganize, and fund changes to the organization so that we are fully responsive to the Operators.  We are still too siloed.",decision to prioritize reorganize and fund changes to the organization so that we are fully responsive to the operators we are still too siloed,[53  4]
54,133,Seek staff feedback on vendors and track feedback to learn if the vendor is the best fit for our growing company,seek staff feedback on vendors and track feedback to learn if the vendor is the best fit for our growing company,[54]
55,136,"Decision making speed. Well thought out decisions take a long time to process, and I applaud CFA for this 90% of the time. However, some decisions (like moving my team from IT Analyst I to IT Analyst II) has been in the works for years. This decision could have been made in 4-8 weeks.",decision making speed well thought out decisions take a long time to process and i applaud cfa for this of the time however some decisions like moving my team from it analyst i to it analyst ii has been in the works for years this decision could have been made in weeks,[13]
56,137,"How to support diversity of race, ethnicity, etc but keep our shared values and faith-based culture.",how to support diversity of race ethnicity etc but keep our shared values and faith based culture,[ 7 69]
57,139,Accountability for leaders to align work and find a common vision across similar/overlapping change initiatives.,accountability for leaders to align work and find a common vision across similar overlapping change initiatives,[70]
58,141,"I personally feel Chick-fil-A needs to improve their decisions at times when choosing to move leaders around the business. While I feel there is most certainly a need for this at times, sometimes it feels like we are just doing it to do it, rather than it really being a wise, positive decision. I think there needs to be some recognition that while a fresh pair of eyes and new ideas can be wise, a learning curb slows down progress. I felt first hand when an employee ends up needing to pick up a lot of the slack while their new leader gets up to speed, or an employee has to spend extra time to get their",i personally feel chick fil a needs to improve their decisions at times when choosing to move leaders around the business while i feel there is most certainly a need for this at times sometimes it feels like we are just doing it to do it rather than it really being a wise positive decision i think there needs to be some recognition that while a fresh pair of eyes and new ideas can be wise a learning curb slows down progress i felt first hand when an employee ends up needing to pick up a lot of the slack while their new leader gets up to speed or an employee has to spend extra time to get their,[70]
59,143,Reducing department work to only work on essential areas that provide the business value.,reducing department work to only work on essential areas that provide the business value,[52]
60,144,"Recruitment aimed at finding the best candidates based on qualifications such as character, chemistry and competency rather than a person's color or gender.",recruitment aimed at finding the best candidates based on qualifications such as character chemistry and competency rather than a person s color or gender,[ 2 69]
61,145,"We're slow to keep up with what is acceptable regarding dress codes, facial hair, appearance related decisions. So many companies operate professionally yet allow jeans on Fridays.",we re slow to keep up with what is acceptable regarding dress codes facial hair appearance related decisions so many companies operate professionally yet allow jeans on fridays,[69]
62,147,Chick-fil-A struggles with competing priorities.  There is tension between sales and safety.  Our Restaurants are operating well beyond the capacity they were designed for and sales are celebrated even if it means compromising our standards to meet the increased volume demand.  The same tension exists between the speed of service and safety.  The emphasis on speed causes Team Members to prioritize speed over safety to meet expectations.,chick fil a struggles with competing priorities there is tension between sales and safety our restaurants are operating well beyond the capacity they were designed for and sales are celebrated even if it means compromising our standards to meet the increased volume demand the same tension exists between the speed of service and safety the emphasis on speed causes team members to prioritize speed over safety to meet expectations,[53 13 54  4]
63,149,"Most decisions are made with sales/growth as the driver (real estate, menu, promotions, etc.) . This can be and is a risk to overly burdensome throughput and capacity constraints for Operators, food-borne illness increase, team member fatigue, Staff frustration at a already high-number of ""high priority"" things to solve for that can be exasperated with always and forever high growth mindset.",most decisions are made with sales growth as the driver real estate menu promotions etc this can be and is a risk to overly burdensome throughput and capacity constraints for operators food borne illness increase team member fatigue staff frustration at a already high number of high priority things to solve for that can be exasperated with always and forever high growth mindset,[53 54  4]
64,150,"I wish that Administrators who desired to pursue promotions or the next role ""above them"" had more opportunities to do so. It often appears that most others have these opportunities while our roles (and the people in them) remain stagnant. Not that the role isn't amazing, but that the advancement opportunities do not seem parallel to others in the organization.",i wish that administrators who desired to pursue promotions or the next role above them had more opportunities to do so it often appears that most others have these opportunities while our roles and the people in them remain stagnant not that the role isn t amazing but that the advancement opportunities do not seem parallel to others in the organization,[3]
65,153,"As someone that works outside of DTT, I think our DTT department needs to take more of an ownership role of our technology strategies rather than it being set by business owners. The current way decisions are made makes it easy for business owners to become ""ticket submitters"" and for our DTT department to become ""ticket takers"". This leads to a decentralized technology strategy for restaurants, team members, Operators, etc. which further complicates the day-to-day aspects of the restaurant.",as someone that works outside of dtt i think our dtt department needs to take more of an ownership role of our technology strategies rather than it being set by business owners the current way decisions are made makes it easy for business owners to become ticket submitters and for our dtt department to become ticket takers this leads to a decentralized technology strategy for restaurants team members operators etc which further complicates the day to day aspects of the restaurant,[53 52  6]
66,154,Budget tracking decisions - the new system makes it very difficult to track our budget month-to-month and project-to-project.,budget tracking decisions the new system makes it very difficult to track our budget month to month and project to project,[6]
67,157,When moving into new systems and programs (Leveling & Workday) need more clarity on what some of the key terms and ideas mean,when moving into new systems and programs leveling workday need more clarity on what some of the key terms and ideas mean,[ 6 12]
68,159,"The ?appointing? of people to roles has not always resulted in ideal leadership. There is not a safe, trusted way for Staff to voice concerns or issues about their Leadership.",the appointing of people to roles has not always resulted in ideal leadership there is not a safe trusted way for staff to voice concerns or issues about their leadership,[70]
69,160,"We have frequent Field staff meetings that seem repetitive (i.e. Field Staff twice a month, monthly Atrium talks, occasional Field Talk Lives and Field Operation meetings) combined with a lot of Corporate communications. Can some of these meetings be shortened or less frequent?",we have frequent field staff meetings that seem repetitive i e field staff twice a month monthly atrium talks occasional field talk lives and field operation meetings combined with a lot of corporate communications can some of these meetings be shortened or less frequent,[8]
70,161,"Chick-fil-A does not need to rely so heavily on the CDC/government recommendations (not requirements) regarding mask wearing at the Support Center. While the company has stressed equity between the Restaurants and the Support Center, there is clearly different expectations for staff health & safety compared to our Team Members.",chick fil a does not need to rely so heavily on the cdc government recommendations not requirements regarding mask wearing at the support center while the company has stressed equity between the restaurants and the support center there is clearly different expectations for staff health safety compared to our team members,[53]
71,162,"Decision making based on specific needs is great, however these decisions should not cause new and more advance problems in our restaurants. Therefore it is imperative that we make decisions with the best and most accurate information available without much haste.",decision making based on specific needs is great however these decisions should not cause new and more advance problems in our restaurants therefore it is imperative that we make decisions with the best and most accurate information available without much haste,[53]
72,164,"I would say the hiring process as I have heard people mention from past experiences, the process is too long, and as a result, good candidates are missed or lost.",i would say the hiring process as i have heard people mention from past experiences the process is too long and as a result good candidates are missed or lost,[2]
73,166,"Ability to clearly share the why behind certain decisions to ensure Operators and Staff are aligned. There are times when Operators feel like we are moving too slowly to address their needs, yet from the Support Center side there may really valid reasons for that. An example here might be canopies or effective cold weather solutions for northern states.",ability to clearly share the why behind certain decisions to ensure operators and staff are aligned there are times when operators feel like we are moving too slowly to address their needs yet from the support center side there may really valid reasons for that an example here might be canopies or effective cold weather solutions for northern states,[53 13 12]
74,168,Hiring external candidates into culture shaping positions within Chick-fil-A Inc.,hiring external candidates into culture shaping positions within chick fil a inc,[2 7]
75,169,Decisions to move forward with innovation at a more rapid pace,decisions to move forward with innovation at a more rapid pace,[13]
76,171,"This isn't really an example, but we can improve on our clarity about who in the organization actually owns the decision. Before new equipment, menu items, or smallwares hit the Restuarant - who determines if they fit operationally, if they add value to the customer, if they add value to the Team Member or Operator, or if they create a negative or positive ripple effect to other areas of the business. While there are people in place to look at these things, there is a lack of clarity about how decisions are made in these areas.",this isn t really an example but we can improve on our clarity about who in the organization actually owns the decision before new equipment menu items or smallwares hit the restuarant who determines if they fit operationally if they add value to the customer if they add value to the team member or operator or if they create a negative or positive ripple effect to other areas of the business while there are people in place to look at these things there is a lack of clarity about how decisions are made in these areas,[12]
77,172,Implementation of technology,implementation of technology,[6]
78,175,Promotions,promotions,[3]
79,176,"People leadership decisions - The same legacy leaders are bypassing all of the systems put in place to continue making relationally-based promotion decisions.  Career interests in workday are still being ignored, there are far too many jobs not being posted and people being moved around like pawns on a chess board.  Legacy leaders do things to people without bringing them along in their own career journey.  They lead like this is a church and people are here to serve in whatever part of the ""congregation"" where there is a need.  And then they'll say they prayed about the decision as if their relationship with God is supposed to carry weight in someone else's life.  At best, this type of decision making is parental and lacks emotional intelligence.  It negatively impacts morale and productivity and achieves the exact opposite of what we are trying to achieve when we say work for of life.  And, there's no accountability because the system is only as effective as the people in power who oftentimes abuse their power with very good intentions, of course.",people leadership decisions the same legacy leaders are bypassing all of the systems put in place to continue making relationally based promotion decisions career interests in workday are still being ignored there are far too many jobs not being posted and people being moved around like pawns on a chess board legacy leaders do things to people without bringing them along in their own career journey they lead like this is a church and people are here to serve in whatever part of the congregation where there is a need and then they ll say they prayed about the decision as if their relationship with god is supposed to carry weight in someone else s life at best this type of decision making is parental and lacks emotional intelligence it negatively impacts morale and productivity and achieves the exact opposite of what we are trying to achieve when we say work for of life and there s no accountability because the system is only as effective as the people in power who oftentimes abuse their power with very good intentions of course,[70  3]
80,177,"Middle-management layer:  we are great at making big investments in new innovative restaurant concepts.  Middle management throughout the organization can be slow (and sometimes resistant) to see the need to invest and allocate resources (people and budget) to grow newer non-traditional restaurant types.  Often budget and people are allocated/reserved for the ""cash cow"" (i.e. FSR) or the ""disruptive"" (i.e. Little Blue Menu) leaving support and dedication to grow other new concepts (i.e. Captive Venue, Food Truck, Delivery Kitchen) lacking.  What this causes is for work to pile up on the critical few who are closest to this work and a slowdown in advancing new/growing Market Ecosystem restaurant types.",middle management layer we are great at making big investments in new innovative restaurant concepts middle management throughout the organization can be slow and sometimes resistant to see the need to invest and allocate resources people and budget to grow newer non traditional restaurant types often budget and people are allocated reserved for the cash cow i e fsr or the disruptive i e little blue menu leaving support and dedication to grow other new concepts i e captive venue food truck delivery kitchen lacking what this causes is for work to pile up on the critical few who are closest to this work and a slowdown in advancing new growing market ecosystem restaurant types,[13 54]
81,178,"Mid-level leadership speed of decision making. Project owners are given direction to lead work and when we get to the point of finalizing work, it feels like all of a sudden we need far more input providers than are actually needed and that will either drastically slow work or take it back to the drawing board.  We need a better process on the front end of work on WHO the decision makers are, and not let our overly collaborative ""everyone has a voice"" culture get in the way of speed to market.",mid level leadership speed of decision making project owners are given direction to lead work and when we get to the point of finalizing work it feels like all of a sudden we need far more input providers than are actually needed and that will either drastically slow work or take it back to the drawing board we need a better process on the front end of work on who the decision makers are and not let our overly collaborative everyone has a voice culture get in the way of speed to market,[13 70  7]
82,179,"Organizational Structure - Oftentimes, we don't know what other departments are working on, causing overlapping work or disjointed work",organizational structure oftentimes we don t know what other departments are working on causing overlapping work or disjointed work,[52]
83,180,Leadership promotions,leadership promotions,[70  3]
84,181,Decisions related to the timeframe of reinvestments or project timelines for  restaurant capacity challenges.,decisions related to the timeframe of reinvestments or project timelines for restaurant capacity challenges,[53 54]
85,183,Internal mobility / leadership selection - it is still very much biased and even borderline illegal,internal mobility leadership selection it is still very much biased and even borderline illegal,[70]
86,185,How to make wise decisions quickly.,how to make wise decisions quickly,[13]
87,186,"Not so much a decision that needs to improve but the process. Many inter-team decisions are slowed down by trying to solve for every ""what if"" and answer everyone's concern or opinion.",not so much a decision that needs to improve but the process many inter team decisions are slowed down by trying to solve for every what if and answer everyone s concern or opinion,[13]
88,190,People leader development and understanding of engagement.,people leader development and understanding of engagement,[70]
89,191,Make decisions quicker.,make decisions quicker,[13]
90,192,Project launch decisions with minimal cost impact (ex: rolling out Drive-Thru structures for the seasons they are needed most - we seem to be 1-2 months late because of a minor design detail),project launch decisions with minimal cost impact ex rolling out drive thru structures for the seasons they are needed most we seem to be months late because of a minor design detail,[53]
91,193,Need to accelerate annual restaurant growth. We are not meeting customer demand.,need to accelerate annual restaurant growth we are not meeting customer demand,[53 54]
92,194,The speed in which we move on technology related solutions that could help alleviate challenges for Team Members in the restaurant.,the speed in which we move on technology related solutions that could help alleviate challenges for team members in the restaurant,[53 13  6]
93,195,How internal work is influenced by the experience Operators are having in the field,how internal work is influenced by the experience operators are having in the field,[53]
94,197,Team member support,team member support,[53]
95,202,"People decisions (promotions, advancements, etc.)",people decisions promotions advancements etc,[3]
96,203,Support Center technology post-pandemic,support center technology post pandemic,[6]
97,204,"Decisions that touch Operators from departments that aren't field facing-they are often too complex, not considering Operator & field voice/repercussions",decisions that touch operators from departments that aren t field facing they are often too complex not considering operator field voice repercussions,[53 52]
98,205,The IT department isn't the most effective or efficient department.,the it department isn t the most effective or efficient department,[52]
99,207,Including true diversity of thought. Not just superficial concepts established by race and gender.,including true diversity of thought not just superficial concepts established by race and gender,[69]
100,208,Speed of the decisions for Operators need to massively improve. Really across the board.,speed of the decisions for operators need to massively improve really across the board,[53 13]
101,213,technology/platforms and the speed at which we move to these,technology platforms and the speed at which we move to these,[13  6]
102,214,Multi-Restuarant Operator Decisions,multi restuarant operator decisions,[53]
103,215,"The most recent decision to require staff who travel, to document their travel to others states, without explaining the reasons behind it.  I know a lot of people outside of CFA who work for large companies and travel, and do not have to document their travel and pay taxes to these states.  I feel like a decision this significant should have been communicated differently; providing more explanation and allowing opportunity for questions.",the most recent decision to require staff who travel to document their travel to others states without explaining the reasons behind it i know a lot of people outside of cfa who work for large companies and travel and do not have to document their travel and pay taxes to these states i feel like a decision this significant should have been communicated differently providing more explanation and allowing opportunity for questions,[8]
104,216,"We tend to take a consensus based approach to decisions.  As a result, people doing the work often don't have autonomy to make the best decision.  Leaders assume what decisions to make, but their assumptions are based on tribal and historical context.",we tend to take a consensus based approach to decisions as a result people doing the work often don t have autonomy to make the best decision leaders assume what decisions to make but their assumptions are based on tribal and historical context,[70]
105,217,Promotion decisions. Do people get promoted anymore? It feels like we all have to interview for a higher level. The interview process for internal folks is long and frustrating.,promotion decisions do people get promoted anymore it feels like we all have to interview for a higher level the interview process for internal folks is long and frustrating,[3]
106,218,Giving Operators more flexibility when it comes to running their location.,giving operators more flexibility when it comes to running their location,[53]
107,219,Sideways energy spent over what department controls what (resources / people).,sideways energy spent over what department controls what resources people,[52]
108,220,"Capacity relief, solutions to reduce capacity constraints in restaurants",capacity relief solutions to reduce capacity constraints in restaurants,[54]
109,222,How to help Operators with capacity issues.,how to help operators with capacity issues,[53 54]
110,223,"We need to empower Operators to add resources they need to attract talent.  If an Operator wants to add a self-ordering kiosk to offer a different channel of ordering for guests, we should support that somehow.  We are all trying to be innovative, build the brand, and serve guests where they are.",we need to empower operators to add resources they need to attract talent if an operator wants to add a self ordering kiosk to offer a different channel of ordering for guests we should support that somehow we are all trying to be innovative build the brand and serve guests where they are,[53]
111,226,People - Promotions -- it is a beauty contest focused on DE&I,people promotions it is a beauty contest focused on dei,[3]
112,227,Leadership choices for some people decisions,leadership choices for some people decisions,[70]
113,228,"Career pathing & calibration of employees is not transparent. It does feel like efforts have been made to work on this, but inconsistencies still exist.",career pathing calibration of employees is not transparent it does feel like efforts have been made to work on this but inconsistencies still exist,[3]
114,230,We're good.  We just need to improve decision speed.,we re good we just need to improve decision speed,[13]
115,232,"Each leadership level wants meetings with sub groups-- Field Operations, Field Staff, Regions, our region, areas, etc. Still some unnecessary sign offs from ""leaders"" above us who lack the context on decisions",each leadership level wants meetings with sub groups field operations field staff regions our region areas etc still some unnecessary sign offs from leaders above us who lack the context on decisions,[70]
116,233,Chick-fil-A can make some improvements on leveling the field for promotional opportunities.,chick fil a can make some improvements on leveling the field for promotional opportunities,[3]
117,234,"Corporate leadership.  We've become more focused on ""intelligence""and less on ""wisdom"" in selecting people leaders.  As our brand and budgets grow, its apparent that we've become enamored with ""ivy league degrees"".  While I'm in favor of ivy league degrees, they're a poor substitute for wisdom.",corporate leadership we ve become more focused on intelligence and less on wisdom in selecting people leaders as our brand and budgets grow its apparent that we ve become enamored with ivy league degrees while i m in favor of ivy league degrees they re a poor substitute for wisdom,[54 70]
