NAID,Q5. Example 1: Types of decisions [Organization] needs to improve,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10
10000035,Organizational alignment (are we a part of CFA Inc and Supply Chain? will we always remain separate?)  Having two leaders seems confusing and I don't understand the delineation.,18,25,,,,,,,,
10000047,"The IT organizational design is confusing for Team Members. Example includes DTT ETS and entity IT co-existing vs combining into one group. Also, entity IT is made of exclusively Supply Team Members who serve both entities, but only subject to Supply incentive distributions.",53,,,,,,,,,
10000048,Not running before we can walk - Allowing us time to familiarize ourselves with systems before we start asking for enhancements. Don't ask for metrics to be part of calculations before they are even trackable/exist in the system.,98,,,,,,,,,
10000049,(More of an overall Inc. problem) but need to provide better technology / tools to host hybrid meetings in the office and have it be consistent in every room.,6,14,37,,,,,,,
10000050,Chick-fil-A needs more computer monitors at the Support Center for their employees.,98,,,,,,,,,
10000054,i think BCF needs better communication with CFA Inc. there are systems and programs that should be shared with BCF team members but cannot because of security restrictions.  Example Atrium Talks- Many BCF team members are denied access because they are not a Services employee but listed as Operations,8,,,,,,,,,
10000055,Decisions that need CFA support or those that are ambiguous in terms of who the owner is.   Sometimes the structure or lack of process across the support center and entities results in duplicative meetings or changes in direction,5,14,,,,,,,,
10000056,The strategic direction of the company,98,,,,,,,,,
10000060,REF,99,,,,,,,,,
10000064,Deciding on our network strategy,98,,,,,,,,,
10000065,Strategic decisions related to future footprint - alignment with vision and direction of the organization,98,,,,,,,,,
10000066,Better analytics around network strategy and why and where we are building new capabilities,98,,,,,,,,,
10000068,REF,99,,,,,,,,,
10000069,Understand the impact of change across various systems,98,,,,,,,,,
10000070,"Go/No-Go. There are projects that we continue to move forward with and as we get close to launch, we realize there are questions and actions that we have not confirmed which causes us to retrace our steps. Example: Cart to Pallet transition",98,,,,,,,,,
10000072,Technology (e.g. software to facilitate and support operations and compliance).,6,,,,,,,,,
10000073,"Hiring priority.  I've heard unhappiness from the warehouse operation leaders on how long it took to fill key roles there.  While that was happening, support services were adding staff and asking more from the ops team.",70,2,4,,,,,,,
10000074,"Streamline software platforms, too much duplication",98,,,,,,,,,
10000075,REF,99,,,,,,,,,
10000078,"Silos create some degree of disjointed decisions.   Example: implications of adding additional new restaurants creates great stress through the organization beyond real estate:  development, constructions, selection, launch support",53,63,,,,,,,,
10000079,REF,99,,,,,,,,,
10000081,Clarity around how much detail is needed for projects/decisions to move forward. We do a lot of work for projects that may never progress.,12,,,,,,,,,
10000082,"Chick-fil-A needs to have more clarity on decision-making ownership.  Even at the officer level, it is not clear who has the final say on most decisions.",12,70,,,,,,,,
10000083,REF,99,,,,,,,,,
10000084,Talent Management/Total Rewards Process - inconsistent across organization,2,23,61,,,,,,,
10000085,Prioritizing execution over more sales,4,,,,,,,,,
10000086,"Decisions that should be clear based on ""requirements/guidelines"".  However, sometimes these are avoided due to the potential for conflict.",12,,,,,,,,,
10000088,Decisions around what not to do or what to stop doing. We seem to have a hard time to say no to something.,98,,,,,,,,,
10000089,"Ability to performance-manage staff effectively.  Legal makes it nearly impossible to offboard talent that is underperforming or actually damaging the morale of the team.  We must get comfortable that as fast as we are growing, we are going to make some wrong hires or that people may even take a wrong turn in their careers and not everyone is on the right ""bus"".",2,54,27,,,,,,,
10000093,Diversity of Upper Level Leadership,57,69,70,,,,,,,
10000096,There are lots of growth at Chick-fil-A around making things better. the current discussion around knowing about new initiative to enhance career and promotions.,54,3,,,,,,,,
10000098,"Decisions that impact subteams within departments. While a decision at that level may have negative impacts that reach up to the broader enterprise or multi department level, these types of decisions can have strong positive impacts as well. While it is important to weigh these decisions and I respect the process, I have seen and bore witness to these type of decisions being put on hold to deal with other issues. I believe that the company loses more than it gains here. Examples are: decisions to re-level certain roles within a sub department and the decision takes over half a year to approve.",15,52,34,,,,,,,
10000099,"They need to be more consistent in staff selection.  I have seen too many examples of requiring one set of guidelines for one group, only to not require the same of all groups.  For example, a TL needed to provide a 45 min presentation to stay in the same role, but different team.  While another group didn't even interview and a job was never posted but they were awarded big promotions.",3,61,,,,,,,,
10000100,REF,99,,,,,,,,,
10000101,I think decisions around diversity and inclusion need to continue to evolve.,69,,,,,,,,,
10000106,Ability to work more remotely even after Covid,72,,,,,,,,,
10000107,REF,99,,,,,,,,,
10000109,REF,99,,,,,,,,,
10000110,REF,99,,,,,,,,,
10000112,"Truck ordering in Inform, should be more automated.",49,,,,,,,,,
10000113,I believe more initiative could be taken in my department (HELP). There have been several changes that have been made by higher levels of leadership that directly affect lower levels. There is a general feeling from the lower levels that decisions about how we manage our daily work are being made FOR us and we are unable to express opinions/make valuable changes/generally control our work.,15,70,52,,,,,,,
10000114,REF,99,,,,,,,,,
10000115,REF,99,,,,,,,,,
10000116,Reopening Decisions,98,,,,,,,,,
10000117,Communicate better between the developers and the Helpdesk,8,,,,,,,,,
10000118,Providing phone analysts opportunity to be granted the PTO that has been requested.,98,,,,,,,,,
10000119,"Decisions on rotating schedules for Saturday analysts, since it's still a but unclear",12,,,,,,,,,
10000122,REF,99,,,,,,,,,
10000123,The opportunity to advise within the company without going through a long process as if we just started working here.,98,,,,,,,,,
10000125,increasing diversity,69,,,,,,,,,
10000128,REF,99,,,,,,,,,
10000129,REF,99,,,,,,,,,
10000130,The mount of time given for lunch,98,,,,,,,,,
10000131,Chick-fil-A could improve upon decision that'll address the talent shortage regarding benefits or pay for team members that'll make Chick-fil-A stand out from the competition. I know many people who are hesitant to work at a Chick-fil-A Restaurant because of the difficulty in operations and the lack of competitive pay/benefits.,2,20,53,,,,,,,
10000133,Need to improve the decision of hiring more people for CFA HELP. Positions where people have left should be filled.,98,,,,,,,,,
10000138,Work-life balance decisions,98,,,,,,,,,
10000140,REF,99,,,,,,,,,
10000141,How long the interview process takes,98,,,,,,,,,
10000150,Provide more growth opportunities,54,,,,,,,,,
10000151,REF,99,,,,,,,,,
10000152,N/A,99,,,,,,,,,
10000158,n/a,99,,,,,,,,,
10000161,REF,99,,,,,,,,,
10000163,"No standard processes, departmental flexibility can lead to inefficiency and inconsistency, as business decisions are made they are not laddered down to specific small teams and individual work.",64,52,41,61,,,,,,
10000164,"New or changing technologies - both Restaurant and Staff facing.   Restaurant technology decisions seem to be made too quickly - without enough testing, given the risk and impact to business operations.  Customers, Operators, Team Members, and Staff are impacted operationally but even more importantly, these decisions impact Operator and Customer trust. Staff technology decisions seem to be made too slowly (years in some cases) - too much evaluation given the risks and impacts.",6,53,13,,,,,,,
10000165,"Determining if the decision is not only possible but is it sustainable.  Many people enjoy innovating and creating new things. Few people enjoy maintaining/sustaining the work when it is created. Additionally, innovators often fail to build into their plan options/paths on what to do when something does not always work as designed.",29,66,,,,,,,,
10000166,"I think that there's an opportunity to improve ""how"" decisions are made. Often times, we introduce additional people and/or information into decision making sessions even when it's obvious that neither will impact the outcome of the decision.",98,,,,,,,,,
10000168,listening to operators/restaurants needs and prioritizing what they will find helpful for their restaurants,53,4,,,,,,,,
10000169,Change management (# of rollouts impacting restaurants at any given time),53,,,,,,,,,
10000171,REF,99,,,,,,,,,
10000172,the timing of initiatives and how it may impact restaurants,53,,,,,,,,,
10000173,Can't think of anything at this time.,98,,,,,,,,,
10000174,Smaller decisions that don't impact a lot of people can take forever or have to go up several layers to get approval.,34,,,,,,,,,
10000175,"More autonomy, trust leaders in selecting right talent",2,70,22,28,,,,,,
10000176,"Mid-level execution of decisions. While major strides have been made, some aspects of a culture of fear of perception persist at Chick-fil-A. Some mid-level people leaders and individual contributors that have been here 5+ years hold on to a mentality that there will be negative consequences for their career growth if they step out or try something and fail.",54,7,3,70,,,,,,
10000177,REF,99,,,,,,,,,
10000178,It is a good thing for staff to have a close business relationship with each other.  The challenge is that some members of some departments may value their social relationship over an individual's competence and performance.,27,,,,,,,,,
10000181,"Chick-fil-A could improve communications to Staff and HELP in particular on new roll outs. That communication could assist with faster service to our Operators, Team Members, Restaurants and overall the end Customers.",8,53,,,,,,,,
10000182,"Chick-fil-A needs to improve on communication across all departments, regarding issues, roll-outs, initiatives, updates, changes, etc.",8,52,,,,,,,,
10000185,REF,99,,,,,,,,,
10000187,"Promotional decisions can sometimes favor relationships over work ethic and experience. If you know the right people, you have a clear advantage over those who don't.",3,,,,,,,,,
10000190,"Honestly, in the time I have been here, I have not seen a decision made where improvement was needed. Each decision is deliberate and taken in a conservative fashion which I believe is the right way to handle such things.",98,,,,,,,,,
10000191,Chick-fil-A should continue to improve the diversity of its people to continue to reflect the customers that we serve.,69,,,,,,,,,
10000192,"I am happy with the way Chick-fil-A, Inc makes decisions.",98,,,,,,,,,
10000193,The length of time needed to hire additional staff.,98,,,,,,,,,
10000195,Don't know of any!,98,,,,,,,,,
10000199,REF,99,,,,,,,,,
10000203,"Allowing ""lower influence"" roles to speak into decisions.",98,,,,,,,,,
10000208,REF,99,,,,,,,,,
10000209,"It feels like we are doing way to much at times and it that puts a strain on daily support resources. We should probably dedicate more staff to direct daily support, and do a little bit less extra project work.",98,,,,,,,,,
10000211,The length of the interview process for internal candidates needs to be overhauled. I have personally interviewed for several roles and the culture fit questions can be reduced if the candidate has already joined the organization.,2,7,,,,,,,,
10000212,Readiness,98,,,,,,,,,
10000213,Fewer metrics for HELP  analysts to adhere to,98,,,,,,,,,
10000216,REF,99,,,,,,,,,
10000218,REF,99,,,,,,,,,
10000219,"Agile decisions. We've been trying to implement agile for a while, but decisions continually get bottlenecked at higher levels.",50,70,,,,,,,,
10000223,I was disappointed when CFA HELP was not going to join main Campus. I was hoping to get to be connected with the rest of the Support Center.,98,,,,,,,,,
10000224,CSM user friendliness is not the best - lots of bugs and glitches and outside platforms needed to do the HELP Online job,6,,,,,,,,,
10000225,"As previously stated, the company will need to take a kaizen approach to social media presence.  It is better to prevent lies and mistruths, but when they occur, we need to be ready to get out in front of the negative media.",98,,,,,,,,,
10000229,"Decisions around minimizing waste and red tape as we grow larger, working to keep us as close to a ""small business"" as possible.",54,36,,,,,,,,
10000230,Chick-fil-A could improve on decisions around the overall meeting culture and help to facilitate a more productive culture around meetings.,7,14,,,,,,,,
10000231,REF,99,,,,,,,,,
10000233,People leadership selection and oversight,70,,,,,,,,,
10000234,a little less traditional in the corporate environment and instead embrace uniqueness in cultural celebrations (have festivities on-site for different cultural days).,7,69,,,,,,,,
10000235,"Training. I understand the difficult circumstances around training at the time I was hired and it didn't affect me all that much but that's because of my years of restaurant experience both on the service side and IT side. However, I can only imagine how much more difficult it was for the majority of the training class to learn so many concepts of hardware/software/networking by just taking Pathway courses which had so much outdated information. Nothing against the trainers themselves; Ronnie is an amazing and very knowledgeable trainer but the process needs improvement and the tools need updating.",17,,,,,,,,,
10000236,Diversity and DEI - moving swiftly and taking a stand when necessary.,69,,,,,,,,,
10000237,"Making decisions that could make some unhappy. It's okay if people leave CFA, sometimes it can be a positive for the organization.",98,,,,,,,,,
10000238,"Decision to prioritize, reorganize, and fund changes to the organization so that we are fully responsive to the Operators.  We are still too siloed.",53,4,5,63,,,,,,
10000239,Restructuring decisions.,5,,,,,,,,,
10000240,Seek staff feedback on vendors and track feedback to learn if the vendor is the best fit for our growing company,54,,,,,,,,,
10000241,Pay and level of lower level employees,20,,,,,,,,,
10000246,REF,99,,,,,,,,,
10000251,"Decision making speed. Well thought out decisions take a long time to process, and I applaud CFA for this 90% of the time. However, some decisions (like moving my team from IT Analyst I to IT Analyst II) has been in the works for years. This decision could have been made in 4-8 weeks.",13,,,,,,,,,
10000254,"How to support diversity of race, ethnicity, etc but keep our shared values and faith-based culture.",7,69,,,,,,,,
10000255,increasing the number of process improvement professionals in the organization and focus on continuous improvement,98,,,,,,,,,
10000257,Accountability for leaders to align work and find a common vision across similar/overlapping change initiatives.,70,,,,,,,,,
10000258,None come to mind,98,,,,,,,,,
10000259,"I personally feel Chick-fil-A needs to improve their decisions at times when choosing to move leaders around the business. While I feel there is most certainly a need for this at times, sometimes it feels like we are just doing it to do it, rather than it really being a wise, positive decision. I think there needs to be some recognition that while a fresh pair of eyes and new ideas can be wise, a learning curb slows down progress. I felt first hand when an employee ends up needing to pick up a lot of the slack while their new leader gets up to speed, or an employee has to spend extra time to get their",70,,,,,,,,,
10000263,Decisions to limit employee freedom and access on campus due to COVID. The Support Center closure lasted longer than any other organization I am aware of and the mask requirement is stifling to employees and very few employees seem to appreciate the mask requirement.,72,,,,,,,,,
10000264,Reducing department work to only work on essential areas that provide the business value.,52,,,,,,,,,
10000265,"Recruitment aimed at finding the best candidates based on qualifications such as character, chemistry and competency rather than a person's color or gender.",2,69,,,,,,,,
10000266,"We're slow to keep up with what is acceptable regarding dress codes, facial hair, appearance related decisions. So many companies operate professionally yet allow jeans on Fridays.",11,69,,,,,,,,
10000268,Maybe just being mindful of everyone's stance on the current pandemic and ensuring everyone is comfortable with how to maneuver in this new norm.,98,,,,,,,,,
10000269,Chick-fil-A struggles with competing priorities.  There is tension between sales and safety.  Our Restaurants are operating well beyond the capacity they were designed for and sales are celebrated even if it means compromising our standards to meet the increased volume demand.  The same tension exists between the speed of service and safety.  The emphasis on speed causes Team Members to prioritize speed over safety to meet expectations.,4,53,58,54,13,,,,,
10000270,Budget decisions that go beyond the department asking for the budget.,98,,,,,,,,,
10000271,"Most decisions are made with sales/growth as the driver (real estate, menu, promotions, etc.) . This can be and is a risk to overly burdensome throughput and capacity constraints for Operators, food-borne illness increase, team member fatigue, Staff frustration at a already high-number of ""high priority"" things to solve for that can be exasperated with always and forever high growth mindset.",54,10,53,58,4,,,,,
10000272,"I wish that Administrators who desired to pursue promotions or the next role ""above them"" had more opportunities to do so. It often appears that most others have these opportunities while our roles (and the people in them) remain stagnant. Not that the role isn't amazing, but that the advancement opportunities do not seem parallel to others in the organization.",3,,,,,,,,,
10000274,Compensation and the leveling process. Takes too long and is too complicated.,20,39,57,,,,,,,
10000279,Synergy between areas,98,,,,,,,,,
10000280,"As someone that works outside of DTT, I think our DTT department needs to take more of an ownership role of our technology strategies rather than it being set by business owners. The current way decisions are made makes it easy for business owners to become ""ticket submitters"" and for our DTT department to become ""ticket takers"". This leads to a decentralized technology strategy for restaurants, team members, Operators, etc. which further complicates the day-to-day aspects of the restaurant.",6,39,53,52,,,,,,
10000281,Budget tracking decisions - the new system makes it very difficult to track our budget month-to-month and project-to-project.,6,,,,,,,,,
10000282,Decisions affecting staff (e.x. return to office),37,,,,,,,,,
10000283,Difficult decisions around non-compliance with rules?need to hold people responsible that put others at risk.,98,,,,,,,,,
10000284,When moving into new systems and programs (Leveling & Workday) need more clarity on what some of the key terms and ideas mean,6,12,57,,,,,,,
10000285,"Decisions that require broad organizational alignment. It still feels like different groups across the organization are siloed and not working together, but have overlapping initiatives.  Alignment, identification of who does what, and what role each person has would be helpful. Potential improvements could start with planning shareouts at the tactical level between different branches of the organization.",18,63,,,,,,,,
10000287,"The ?appointing? of people to roles has not always resulted in ideal leadership. There is not a safe, trusted way for Staff to voice concerns or issues about their Leadership.",70,,,,,,,,,
10000288,"We have frequent Field staff meetings that seem repetitive (i.e. Field Staff twice a month, monthly Atrium talks, occasional Field Talk Lives and Field Operation meetings) combined with a lot of Corporate communications. Can some of these meetings be shortened or less frequent?",8,14,,,,,,,,
10000289,"Chick-fil-A does not need to rely so heavily on the CDC/government recommendations (not requirements) regarding mask wearing at the Support Center. While the company has stressed equity between the Restaurants and the Support Center, there is clearly different expectations for staff health & safety compared to our Team Members.",24,53,72,,,,,,,
10000290,"Decision making based on specific needs is great, however these decisions should not cause new and more advance problems in our restaurants. Therefore it is imperative that we make decisions with the best and most accurate information available without much haste.",53,,,,,,,,,
10000293,"Use of better decision making tools for investment decisions might make us stronger.  The Strategic Bets are all high impact- no debating that.  However, the nearly ""open checkbook"" on so few initiatives- without a return value deliverable makes me question if we are being THE BEST stewards we can be.  There are initiatives where we have the resources and passion to achieve a high return on value, but we bypass them as they don't align well with the Strategic Bets.  Some of these high return initiatives may even cover the cost of many Strategic Bet investments!",9,,,,,,,,,
10000294,"I would say the hiring process as I have heard people mention from past experiences, the process is too long, and as a result, good candidates are missed or lost.",2,,,,,,,,,
10000296,deciding strategically what to work on and aligning people and money to that work effectively,98,,,,,,,,,
10000297,"Ability to clearly share the why behind certain decisions to ensure Operators and Staff are aligned. There are times when Operators feel like we are moving too slowly to address their needs, yet from the Support Center side there may really valid reasons for that. An example here might be canopies or effective cold weather solutions for northern states.",53,13,12,,,,,,,
10000298,REF,99,,,,,,,,,
10000299,Hiring external candidates into culture shaping positions within Chick-fil-A Inc.,2,7,,,,,,,,
10000300,Decisions to move forward with innovation at a more rapid pace,13,66,,,,,,,,
10000301,People decisions based on merit. There appear to be people decisions with other criteria not related to the skills/experiences required. My concern is that this will result in poor outcomes in the long term.,98,,,,,,,,,
10000303,"This isn't really an example, but we can improve on our clarity about who in the organization actually owns the decision. Before new equipment, menu items, or smallwares hit the Restuarant - who determines if they fit operationally, if they add value to the customer, if they add value to the Team Member or Operator, or if they create a negative or positive ripple effect to other areas of the business. While there are people in place to look at these things, there is a lack of clarity about how decisions are made in these areas.",10,12,71,,,,,,,
10000305,Implementation of technology,6,,,,,,,,,
10000306,Corporate People Selections. We are becoming too impressed with resumes and school backgrounds.,98,,,,,,,,,
10000307,People selection practices.,98,,,,,,,,,
10000308,Promotions,3,,,,,,,,,
10000309,"People leadership decisions - The same legacy leaders are bypassing all of the systems put in place to continue making relationally-based promotion decisions.  Career interests in workday are still being ignored, there are far too many jobs not being posted and people being moved around like pawns on a chess board.  Legacy leaders do things to people without bringing them along in their own career journey.  They lead like this is a church and people are here to serve in whatever part of the ""congregation"" where there is a need.  And then they'll say they prayed about the decision as if their relationship with God is supposed to carry weight in someone else's life.  At best, this type of decision making is parental and lacks emotional intelligence.  It negatively impacts morale and productivity and achieves the exact opposite of what we are trying to achieve when we say work for of life.  And, there's no accountability because the system is only as effective as the people in power who oftentimes abuse their power with very good intentions, of course.",3,70,,,,,,,,
10000311,"Middle-management layer:  we are great at making big investments in new innovative restaurant concepts.  Middle management throughout the organization can be slow (and sometimes resistant) to see the need to invest and allocate resources (people and budget) to grow newer non-traditional restaurant types.  Often budget and people are allocated/reserved for the ""cash cow"" (i.e. FSR) or the ""disruptive"" (i.e. Little Blue Menu) leaving support and dedication to grow other new concepts (i.e. Captive Venue, Food Truck, Delivery Kitchen) lacking.  What this causes is for work to pile up on the critical few who are closest to this work and a slowdown in advancing new/growing Market Ecosystem restaurant types.",54,10,21,66,13,41,,,,
10000312,"Mid-level leadership speed of decision making. Project owners are given direction to lead work and when we get to the point of finalizing work, it feels like all of a sudden we need far more input providers than are actually needed and that will either drastically slow work or take it back to the drawing board.  We need a better process on the front end of work on WHO the decision makers are, and not let our overly collaborative ""everyone has a voice"" culture get in the way of speed to market.",7,70,13,15,,,,,,
10000313,"Organizational Structure - Oftentimes, we don't know what other departments are working on, causing overlapping work or disjointed work",5,52,,,,,,,,
10000315,Leadership promotions,3,70,,,,,,,,
10000316,Decisions related to the timeframe of reinvestments or project timelines for  restaurant capacity challenges.,32,53,58,54,,,,,,
10000318,Selection decisions,98,,,,,,,,,
10000320,Internal mobility / leadership selection - it is still very much biased and even borderline illegal,70,,,,,,,,,
10000321,REF,99,,,,,,,,,
10000323,How to make wise decisions quickly.,13,,,,,,,,,
10000326,"Not so much a decision that needs to improve but the process. Many inter-team decisions are slowed down by trying to solve for every ""what if"" and answer everyone's concern or opinion.",13,,,,,,,,,
10000327,Are the strategic bets really the correct bets? (i.e. DE&I),9,,,,,,,,,
10000330,What is truly a requirement vs. strongly encouraged. It just adds to confusion.,98,,,,,,,,,
10000331,"How to execute on strategic bets.  Too many people work on the same thing in silos and we work on too much extra stuff.  We're really and at saying no to work or that work isn't as important right now, so let's put your team on project x.  We need to do more of that.",9,63,,,,,,,,
10000333,People leader development and understanding of engagement.,70,,,,,,,,,
10000334,Make decisions quicker.,13,,,,,,,,,
10000335,Project launch decisions with minimal cost impact (ex: rolling out Drive-Thru structures for the seasons they are needed most - we seem to be 1-2 months late because of a minor design detail),53,,,,,,,,,
10000336,Need to accelerate annual restaurant growth. We are not meeting customer demand.,54,53,,,,,,,,
10000337,The speed in which we move on technology related solutions that could help alleviate challenges for Team Members in the restaurant.,6,13,53,,,,,,,
10000338,How internal work is influenced by the experience Operators are having in the field,53,,,,,,,,,
10000340,REF,99,,,,,,,,,
10000342,Team member support,53,,,,,,,,,
10000344,REF,99,,,,,,,,,
10000348,Tactical decisions,98,,,,,,,,,
10000349,Who will promote and give attributes,98,,,,,,,,,
10000350,Push more decisions down to people closest to the work. Budget to align,41,,,,,,,,,
10000351,"People decisions (promotions, advancements, etc.)",3,,,,,,,,,
10000352,Support Center technology post-pandemic,6,,,,,,,,,
10000355,"Decisions that touch Operators from departments that aren't field facing-they are often too complex, not considering Operator & field voice/repercussions",39,53,52,,,,,,,
10000356,The IT department isn't the most effective or efficient department.,52,,,,,,,,,
10000357,Process changes tend to take too long.,98,,,,,,,,,
10000358,Including true diversity of thought. Not just superficial concepts established by race and gender.,69,,,,,,,,,
10000359,Speed of the decisions for Operators need to massively improve. Really across the board.,53,13,,,,,,,,
10000360,"Difficult personnel decisions.  Those that are not keeping up, those that have stayed too long, those who were chosen to lead when the business was different but are not up to future challenges.",98,,,,,,,,,
10000361,I think we may be running to consultants for insights and not asking what makes us unique.,33,,,,,,,,,
10000365,"We need to back away from all the social ""woke"" efforts and get back to selling chicken.",98,,,,,,,,,
10000366,REF,99,,,,,,,,,
10000368,technology/platforms and the speed at which we move to these,6,13,,,,,,,,
10000369,Multi-Restuarant Operator Decisions,53,,,,,,,,,
10000370,"The most recent decision to require staff who travel, to document their travel to others states, without explaining the reasons behind it.  I know a lot of people outside of CFA who work for large companies and travel, and do not have to document their travel and pay taxes to these states.  I feel like a decision this significant should have been communicated differently; providing more explanation and allowing opportunity for questions.",20,8,,,,,,,,
10000371,"We tend to take a consensus based approach to decisions.  As a result, people doing the work often don't have autonomy to make the best decision.  Leaders assume what decisions to make, but their assumptions are based on tribal and historical context.",70,15,22,,,,,,,
10000372,Promotion decisions. Do people get promoted anymore? It feels like we all have to interview for a higher level. The interview process for internal folks is long and frustrating.,3,,,,,,,,,
10000374,Giving Operators more flexibility when it comes to running their location.,64,53,,,,,,,,
10000375,Sideways energy spent over what department controls what (resources / people).,52,,,,,,,,,
10000377,"Capacity relief, solutions to reduce capacity constraints in restaurants",58,54,,,,,,,,
10000378,When exceptions can be made and who owns the decision.,71,,,,,,,,,
10000380,How to help Operators with capacity issues.,53,58,54,,,,,,,
10000384,"We need to empower Operators to add resources they need to attract talent.  If an Operator wants to add a self-ordering kiosk to offer a different channel of ordering for guests, we should support that somehow.  We are all trying to be innovative, build the brand, and serve guests where they are.",66,53,22,,,,,,,
10000387,Staff development,98,,,,,,,,,
10000388,New products. Specifically grilled. Does anyone really think the grilled product is good??  Just taste the grilled nuggets!  Worst grilled prod on the market.,98,,,,,,,,,
10000389,People - Promotions -- it is a beauty contest focused on DE&I,3,,,,,,,,,
10000390,Leadership choices for some people decisions,70,,,,,,,,,
10000391,"Career pathing & calibration of employees is not transparent. It does feel like efforts have been made to work on this, but inconsistencies still exist.",3,19,61,,,,,,,
10000392,Decision Making Authority Needs to be Pushed Down,41,,,,,,,,,
10000393,We're good.  We just need to improve decision speed.,13,,,,,,,,,
10000394,REF,99,,,,,,,,,
10000395,"Each leadership level wants meetings with sub groups-- Field Operations, Field Staff, Regions, our region, areas, etc. Still some unnecessary sign offs from ""leaders"" above us who lack the context on decisions",14,70,,,,,,,,
10000397,Chick-fil-A can make some improvements on leveling the field for promotional opportunities.,3,57,,,,,,,,
10000398,"Corporate leadership.  We've become more focused on ""intelligence""and less on ""wisdom"" in selecting people leaders.  As our brand and budgets grow, its apparent that we've become enamored with ""ivy league degrees"".  While I'm in favor of ivy league degrees, they're a poor substitute for wisdom.",54,70,,,,,,,,
10000399,Opportunity to calibrate on MU Operator decisions.  Confusion among Operators,53,,,,,,,,,
10000400,"New technology rollouts, especially staff facing",6,,,,,,,,,
10000401,Real Estate and Reinvestment decisions to be more collaborative with area teams.,98,,,,,,,,,
10000403,People promotions - for years it was a good ole boys club and not merit based. It is improving.,3,,,,,,,,,
10000404,Decisions that affect Operators' ability to get the chicken sandwich across the counter most effectively.,53,,,,,,,,,
10000405,"People: Hiring, Promotions, Demotions, Grievances, Consequences",3,,,,,,,,,
10000406,REF,99,,,,,,,,,
10000407,Budgetary ability at the Area Support Team level to help speed the decision process for restaurant reinvestment decisions.,53,13,,,,,,,,
10000408,REF,99,,,,,,,,,
10000409,Work structure. We are way too busy and not focused enough to have enough time to actually do meaningful work.,98,,,,,,,,,
10000415,Short term decisions until long term plays can happen,98,,,,,,,,,
10000416,REF,99,,,,,,,,,
10000417,People decisions and specifically ensuring the right candidate is selected. Specifically internal selections where we have the opportunity to access more data from peers and direct reports to find out more about who we are promoting.,2,,,,,,,,,
