Id,Body,Tag
48,Talent Management/Total Rewards Process - inconsistent across organization,2
49,Prioritizing execution over more sales,4
50,"Decisions that should be clear based on ""requirements/guidelines"".  However, sometimes these are avoided due to the potential for conflict.",12
52,"Ability to performance-manage staff effectively.  Legal makes it nearly impossible to offboard talent that is underperforming or actually damaging the morale of the team.  We must get comfortable that as fast as we are growing, we are going to make some wrong hires or that people may even take a wrong turn in their careers and not everyone is on the right ""bus"".",2
52,"Ability to performance-manage staff effectively.  Legal makes it nearly impossible to offboard talent that is underperforming or actually damaging the morale of the team.  We must get comfortable that as fast as we are growing, we are going to make some wrong hires or that people may even take a wrong turn in their careers and not everyone is on the right ""bus"".",54
53,Diversity of Upper Level Leadership,70
53,Diversity of Upper Level Leadership,69
54,There are lots of growth at Chick-fil-A around making things better. the current discussion around knowing about new initiative to enhance career and promotions.,54
54,There are lots of growth at Chick-fil-A around making things better. the current discussion around knowing about new initiative to enhance career and promotions.,3
55,"Decisions that impact subteams within departments. While a decision at that level may have negative impacts that reach up to the broader enterprise or multi department level, these types of decisions can have strong positive impacts as well. While it is important to weigh these decisions and I respect the process, I have seen and bore witness to these type of decisions being put on hold to deal with other issues. I believe that the company loses more than it gains here. Examples are: decisions to re-level certain roles within a sub department and the decision takes over half a year to approve.",52
56,"They need to be more consistent in staff selection.  I have seen too many examples of requiring one set of guidelines for one group, only to not require the same of all groups.  For example, a TL needed to provide a 45 min presentation to stay in the same role, but different team.  While another group didn't even interview and a job was never posted but they were awarded big promotions.",3
58,I think decisions around diversity and inclusion need to continue to evolve.,69
64,I believe more initiative could be taken in my department (HELP). There have been several changes that have been made by higher levels of leadership that directly affect lower levels. There is a general feeling from the lower levels that decisions about how we manage our daily work are being made FOR us and we are unable to express opinions/make valuable changes/generally control our work.,70
64,I believe more initiative could be taken in my department (HELP). There have been several changes that have been made by higher levels of leadership that directly affect lower levels. There is a general feeling from the lower levels that decisions about how we manage our daily work are being made FOR us and we are unable to express opinions/make valuable changes/generally control our work.,52
68,Communicate better between the developers and the Helpdesk,8
70,"Decisions on rotating schedules for Saturday analysts, since it's still a but unclear",12
73,increasing diversity,69
77,Chick-fil-A could improve upon decision that'll address the talent shortage regarding benefits or pay for team members that'll make Chick-fil-A stand out from the competition. I know many people who are hesitant to work at a Chick-fil-A Restaurant because of the difficulty in operations and the lack of competitive pay/benefits.,53
77,Chick-fil-A could improve upon decision that'll address the talent shortage regarding benefits or pay for team members that'll make Chick-fil-A stand out from the competition. I know many people who are hesitant to work at a Chick-fil-A Restaurant because of the difficulty in operations and the lack of competitive pay/benefits.,2
82,Provide more growth opportunities,54
87,"No standard processes, departmental flexibility can lead to inefficiency and inconsistency, as business decisions are made they are not laddered down to specific small teams and individual work.",52
88,"New or changing technologies - both Restaurant and Staff facing.   Restaurant technology decisions seem to be made too quickly - without enough testing, given the risk and impact to business operations.  Customers, Operators, Team Members, and Staff are impacted operationally but even more importantly, these decisions impact Operator and Customer trust. Staff technology decisions seem to be made too slowly (years in some cases) - too much evaluation given the risks and impacts.",53
88,"New or changing technologies - both Restaurant and Staff facing.   Restaurant technology decisions seem to be made too quickly - without enough testing, given the risk and impact to business operations.  Customers, Operators, Team Members, and Staff are impacted operationally but even more importantly, these decisions impact Operator and Customer trust. Staff technology decisions seem to be made too slowly (years in some cases) - too much evaluation given the risks and impacts.",13
88,"New or changing technologies - both Restaurant and Staff facing.   Restaurant technology decisions seem to be made too quickly - without enough testing, given the risk and impact to business operations.  Customers, Operators, Team Members, and Staff are impacted operationally but even more importantly, these decisions impact Operator and Customer trust. Staff technology decisions seem to be made too slowly (years in some cases) - too much evaluation given the risks and impacts.",6
91,listening to operators/restaurants needs and prioritizing what they will find helpful for their restaurants,53
91,listening to operators/restaurants needs and prioritizing what they will find helpful for their restaurants,4
92,Change management (# of rollouts impacting restaurants at any given time),53
94,the timing of initiatives and how it may impact restaurants,53
97,"More autonomy, trust leaders in selecting right talent",2
97,"More autonomy, trust leaders in selecting right talent",70
98,"Mid-level execution of decisions. While major strides have been made, some aspects of a culture of fear of perception persist at Chick-fil-A. Some mid-level people leaders and individual contributors that have been here 5+ years hold on to a mentality that there will be negative consequences for their career growth if they step out or try something and fail.",54
98,"Mid-level execution of decisions. While major strides have been made, some aspects of a culture of fear of perception persist at Chick-fil-A. Some mid-level people leaders and individual contributors that have been here 5+ years hold on to a mentality that there will be negative consequences for their career growth if they step out or try something and fail.",70
98,"Mid-level execution of decisions. While major strides have been made, some aspects of a culture of fear of perception persist at Chick-fil-A. Some mid-level people leaders and individual contributors that have been here 5+ years hold on to a mentality that there will be negative consequences for their career growth if they step out or try something and fail.",3
98,"Mid-level execution of decisions. While major strides have been made, some aspects of a culture of fear of perception persist at Chick-fil-A. Some mid-level people leaders and individual contributors that have been here 5+ years hold on to a mentality that there will be negative consequences for their career growth if they step out or try something and fail.",7
101,"Chick-fil-A could improve communications to Staff and HELP in particular on new roll outs. That communication could assist with faster service to our Operators, Team Members, Restaurants and overall the end Customers.",53
101,"Chick-fil-A could improve communications to Staff and HELP in particular on new roll outs. That communication could assist with faster service to our Operators, Team Members, Restaurants and overall the end Customers.",8
102,"Chick-fil-A needs to improve on communication across all departments, regarding issues, roll-outs, initiatives, updates, changes, etc.",52
102,"Chick-fil-A needs to improve on communication across all departments, regarding issues, roll-outs, initiatives, updates, changes, etc.",8
104,"Promotional decisions can sometimes favor relationships over work ethic and experience. If you know the right people, you have a clear advantage over those who don't.",3
106,Chick-fil-A should continue to improve the diversity of its people to continue to reflect the customers that we serve.,69
114,The length of the interview process for internal candidates needs to be overhauled. I have personally interviewed for several roles and the culture fit questions can be reduced if the candidate has already joined the organization.,2
114,The length of the interview process for internal candidates needs to be overhauled. I have personally interviewed for several roles and the culture fit questions can be reduced if the candidate has already joined the organization.,7
119,"Agile decisions. We've been trying to implement agile for a while, but decisions continually get bottlenecked at higher levels.",70
121,CSM user friendliness is not the best - lots of bugs and glitches and outside platforms needed to do the HELP Online job,6
123,"Decisions around minimizing waste and red tape as we grow larger, working to keep us as close to a ""small business"" as possible.",54
124,Chick-fil-A could improve on decisions around the overall meeting culture and help to facilitate a more productive culture around meetings.,7
126,People leadership selection and oversight,70
127,a little less traditional in the corporate environment and instead embrace uniqueness in cultural celebrations (have festivities on-site for different cultural days).,7
127,a little less traditional in the corporate environment and instead embrace uniqueness in cultural celebrations (have festivities on-site for different cultural days).,69
129,Diversity and DEI - moving swiftly and taking a stand when necessary.,69
131,"Decision to prioritize, reorganize, and fund changes to the organization so that we are fully responsive to the Operators.  We are still too siloed.",53
131,"Decision to prioritize, reorganize, and fund changes to the organization so that we are fully responsive to the Operators.  We are still too siloed.",4
133,Seek staff feedback on vendors and track feedback to learn if the vendor is the best fit for our growing company,54
136,"Decision making speed. Well thought out decisions take a long time to process, and I applaud CFA for this 90% of the time. However, some decisions (like moving my team from IT Analyst I to IT Analyst II) has been in the works for years. This decision could have been made in 4-8 weeks.",13
137,"How to support diversity of race, ethnicity, etc but keep our shared values and faith-based culture.",7
137,"How to support diversity of race, ethnicity, etc but keep our shared values and faith-based culture.",69
139,Accountability for leaders to align work and find a common vision across similar/overlapping change initiatives.,70
141,"I personally feel Chick-fil-A needs to improve their decisions at times when choosing to move leaders around the business. While I feel there is most certainly a need for this at times, sometimes it feels like we are just doing it to do it, rather than it really being a wise, positive decision. I think there needs to be some recognition that while a fresh pair of eyes and new ideas can be wise, a learning curb slows down progress. I felt first hand when an employee ends up needing to pick up a lot of the slack while their new leader gets up to speed, or an employee has to spend extra time to get their",70
143,Reducing department work to only work on essential areas that provide the business value.,52
144,"Recruitment aimed at finding the best candidates based on qualifications such as character, chemistry and competency rather than a person's color or gender.",2
144,"Recruitment aimed at finding the best candidates based on qualifications such as character, chemistry and competency rather than a person's color or gender.",69
145,"We're slow to keep up with what is acceptable regarding dress codes, facial hair, appearance related decisions. So many companies operate professionally yet allow jeans on Fridays.",69
147,Chick-fil-A struggles with competing priorities.  There is tension between sales and safety.  Our Restaurants are operating well beyond the capacity they were designed for and sales are celebrated even if it means compromising our standards to meet the increased volume demand.  The same tension exists between the speed of service and safety.  The emphasis on speed causes Team Members to prioritize speed over safety to meet expectations.,53
147,Chick-fil-A struggles with competing priorities.  There is tension between sales and safety.  Our Restaurants are operating well beyond the capacity they were designed for and sales are celebrated even if it means compromising our standards to meet the increased volume demand.  The same tension exists between the speed of service and safety.  The emphasis on speed causes Team Members to prioritize speed over safety to meet expectations.,13
147,Chick-fil-A struggles with competing priorities.  There is tension between sales and safety.  Our Restaurants are operating well beyond the capacity they were designed for and sales are celebrated even if it means compromising our standards to meet the increased volume demand.  The same tension exists between the speed of service and safety.  The emphasis on speed causes Team Members to prioritize speed over safety to meet expectations.,54
147,Chick-fil-A struggles with competing priorities.  There is tension between sales and safety.  Our Restaurants are operating well beyond the capacity they were designed for and sales are celebrated even if it means compromising our standards to meet the increased volume demand.  The same tension exists between the speed of service and safety.  The emphasis on speed causes Team Members to prioritize speed over safety to meet expectations.,4
149,"Most decisions are made with sales/growth as the driver (real estate, menu, promotions, etc.) . This can be and is a risk to overly burdensome throughput and capacity constraints for Operators, food-borne illness increase, team member fatigue, Staff frustration at a already high-number of ""high priority"" things to solve for that can be exasperated with always and forever high growth mindset.",53
149,"Most decisions are made with sales/growth as the driver (real estate, menu, promotions, etc.) . This can be and is a risk to overly burdensome throughput and capacity constraints for Operators, food-borne illness increase, team member fatigue, Staff frustration at a already high-number of ""high priority"" things to solve for that can be exasperated with always and forever high growth mindset.",54
149,"Most decisions are made with sales/growth as the driver (real estate, menu, promotions, etc.) . This can be and is a risk to overly burdensome throughput and capacity constraints for Operators, food-borne illness increase, team member fatigue, Staff frustration at a already high-number of ""high priority"" things to solve for that can be exasperated with always and forever high growth mindset.",4
150,"I wish that Administrators who desired to pursue promotions or the next role ""above them"" had more opportunities to do so. It often appears that most others have these opportunities while our roles (and the people in them) remain stagnant. Not that the role isn't amazing, but that the advancement opportunities do not seem parallel to others in the organization.",3
153,"As someone that works outside of DTT, I think our DTT department needs to take more of an ownership role of our technology strategies rather than it being set by business owners. The current way decisions are made makes it easy for business owners to become ""ticket submitters"" and for our DTT department to become ""ticket takers"". This leads to a decentralized technology strategy for restaurants, team members, Operators, etc. which further complicates the day-to-day aspects of the restaurant.",53
153,"As someone that works outside of DTT, I think our DTT department needs to take more of an ownership role of our technology strategies rather than it being set by business owners. The current way decisions are made makes it easy for business owners to become ""ticket submitters"" and for our DTT department to become ""ticket takers"". This leads to a decentralized technology strategy for restaurants, team members, Operators, etc. which further complicates the day-to-day aspects of the restaurant.",52
153,"As someone that works outside of DTT, I think our DTT department needs to take more of an ownership role of our technology strategies rather than it being set by business owners. The current way decisions are made makes it easy for business owners to become ""ticket submitters"" and for our DTT department to become ""ticket takers"". This leads to a decentralized technology strategy for restaurants, team members, Operators, etc. which further complicates the day-to-day aspects of the restaurant.",6
154,Budget tracking decisions - the new system makes it very difficult to track our budget month-to-month and project-to-project.,6
157,When moving into new systems and programs (Leveling & Workday) need more clarity on what some of the key terms and ideas mean,6
157,When moving into new systems and programs (Leveling & Workday) need more clarity on what some of the key terms and ideas mean,12
159,"The ?appointing? of people to roles has not always resulted in ideal leadership. There is not a safe, trusted way for Staff to voice concerns or issues about their Leadership.",70
160,"We have frequent Field staff meetings that seem repetitive (i.e. Field Staff twice a month, monthly Atrium talks, occasional Field Talk Lives and Field Operation meetings) combined with a lot of Corporate communications. Can some of these meetings be shortened or less frequent?",8
161,"Chick-fil-A does not need to rely so heavily on the CDC/government recommendations (not requirements) regarding mask wearing at the Support Center. While the company has stressed equity between the Restaurants and the Support Center, there is clearly different expectations for staff health & safety compared to our Team Members.",53
162,"Decision making based on specific needs is great, however these decisions should not cause new and more advance problems in our restaurants. Therefore it is imperative that we make decisions with the best and most accurate information available without much haste.",53
164,"I would say the hiring process as I have heard people mention from past experiences, the process is too long, and as a result, good candidates are missed or lost.",2
166,"Ability to clearly share the why behind certain decisions to ensure Operators and Staff are aligned. There are times when Operators feel like we are moving too slowly to address their needs, yet from the Support Center side there may really valid reasons for that. An example here might be canopies or effective cold weather solutions for northern states.",53
166,"Ability to clearly share the why behind certain decisions to ensure Operators and Staff are aligned. There are times when Operators feel like we are moving too slowly to address their needs, yet from the Support Center side there may really valid reasons for that. An example here might be canopies or effective cold weather solutions for northern states.",13
166,"Ability to clearly share the why behind certain decisions to ensure Operators and Staff are aligned. There are times when Operators feel like we are moving too slowly to address their needs, yet from the Support Center side there may really valid reasons for that. An example here might be canopies or effective cold weather solutions for northern states.",12
168,Hiring external candidates into culture shaping positions within Chick-fil-A Inc.,2
168,Hiring external candidates into culture shaping positions within Chick-fil-A Inc.,7
169,Decisions to move forward with innovation at a more rapid pace,13
171,"This isn't really an example, but we can improve on our clarity about who in the organization actually owns the decision. Before new equipment, menu items, or smallwares hit the Restuarant - who determines if they fit operationally, if they add value to the customer, if they add value to the Team Member or Operator, or if they create a negative or positive ripple effect to other areas of the business. While there are people in place to look at these things, there is a lack of clarity about how decisions are made in these areas.",12
172,Implementation of technology,6
175,Promotions,3
176,"People leadership decisions - The same legacy leaders are bypassing all of the systems put in place to continue making relationally-based promotion decisions.  Career interests in workday are still being ignored, there are far too many jobs not being posted and people being moved around like pawns on a chess board.  Legacy leaders do things to people without bringing them along in their own career journey.  They lead like this is a church and people are here to serve in whatever part of the ""congregation"" where there is a need.  And then they'll say they prayed about the decision as if their relationship with God is supposed to carry weight in someone else's life.  At best, this type of decision making is parental and lacks emotional intelligence.  It negatively impacts morale and productivity and achieves the exact opposite of what we are trying to achieve when we say work for of life.  And, there's no accountability because the system is only as effective as the people in power who oftentimes abuse their power with very good intentions, of course.",70
176,"People leadership decisions - The same legacy leaders are bypassing all of the systems put in place to continue making relationally-based promotion decisions.  Career interests in workday are still being ignored, there are far too many jobs not being posted and people being moved around like pawns on a chess board.  Legacy leaders do things to people without bringing them along in their own career journey.  They lead like this is a church and people are here to serve in whatever part of the ""congregation"" where there is a need.  And then they'll say they prayed about the decision as if their relationship with God is supposed to carry weight in someone else's life.  At best, this type of decision making is parental and lacks emotional intelligence.  It negatively impacts morale and productivity and achieves the exact opposite of what we are trying to achieve when we say work for of life.  And, there's no accountability because the system is only as effective as the people in power who oftentimes abuse their power with very good intentions, of course.",3
177,"Middle-management layer:  we are great at making big investments in new innovative restaurant concepts.  Middle management throughout the organization can be slow (and sometimes resistant) to see the need to invest and allocate resources (people and budget) to grow newer non-traditional restaurant types.  Often budget and people are allocated/reserved for the ""cash cow"" (i.e. FSR) or the ""disruptive"" (i.e. Little Blue Menu) leaving support and dedication to grow other new concepts (i.e. Captive Venue, Food Truck, Delivery Kitchen) lacking.  What this causes is for work to pile up on the critical few who are closest to this work and a slowdown in advancing new/growing Market Ecosystem restaurant types.",13
177,"Middle-management layer:  we are great at making big investments in new innovative restaurant concepts.  Middle management throughout the organization can be slow (and sometimes resistant) to see the need to invest and allocate resources (people and budget) to grow newer non-traditional restaurant types.  Often budget and people are allocated/reserved for the ""cash cow"" (i.e. FSR) or the ""disruptive"" (i.e. Little Blue Menu) leaving support and dedication to grow other new concepts (i.e. Captive Venue, Food Truck, Delivery Kitchen) lacking.  What this causes is for work to pile up on the critical few who are closest to this work and a slowdown in advancing new/growing Market Ecosystem restaurant types.",54
178,"Mid-level leadership speed of decision making. Project owners are given direction to lead work and when we get to the point of finalizing work, it feels like all of a sudden we need far more input providers than are actually needed and that will either drastically slow work or take it back to the drawing board.  We need a better process on the front end of work on WHO the decision makers are, and not let our overly collaborative ""everyone has a voice"" culture get in the way of speed to market.",13
178,"Mid-level leadership speed of decision making. Project owners are given direction to lead work and when we get to the point of finalizing work, it feels like all of a sudden we need far more input providers than are actually needed and that will either drastically slow work or take it back to the drawing board.  We need a better process on the front end of work on WHO the decision makers are, and not let our overly collaborative ""everyone has a voice"" culture get in the way of speed to market.",70
178,"Mid-level leadership speed of decision making. Project owners are given direction to lead work and when we get to the point of finalizing work, it feels like all of a sudden we need far more input providers than are actually needed and that will either drastically slow work or take it back to the drawing board.  We need a better process on the front end of work on WHO the decision makers are, and not let our overly collaborative ""everyone has a voice"" culture get in the way of speed to market.",7
179,"Organizational Structure - Oftentimes, we don't know what other departments are working on, causing overlapping work or disjointed work",52
180,Leadership promotions,70
180,Leadership promotions,3
181,Decisions related to the timeframe of reinvestments or project timelines for  restaurant capacity challenges.,53
181,Decisions related to the timeframe of reinvestments or project timelines for  restaurant capacity challenges.,54
183,Internal mobility / leadership selection - it is still very much biased and even borderline illegal,70
185,How to make wise decisions quickly.,13
186,"Not so much a decision that needs to improve but the process. Many inter-team decisions are slowed down by trying to solve for every ""what if"" and answer everyone's concern or opinion.",13
190,People leader development and understanding of engagement.,70
191,Make decisions quicker.,13
192,Project launch decisions with minimal cost impact (ex: rolling out Drive-Thru structures for the seasons they are needed most - we seem to be 1-2 months late because of a minor design detail),53
193,Need to accelerate annual restaurant growth. We are not meeting customer demand.,53
193,Need to accelerate annual restaurant growth. We are not meeting customer demand.,54
194,The speed in which we move on technology related solutions that could help alleviate challenges for Team Members in the restaurant.,53
194,The speed in which we move on technology related solutions that could help alleviate challenges for Team Members in the restaurant.,13
194,The speed in which we move on technology related solutions that could help alleviate challenges for Team Members in the restaurant.,6
195,How internal work is influenced by the experience Operators are having in the field,53
197,Team member support,53
202,"People decisions (promotions, advancements, etc.)",3
203,Support Center technology post-pandemic,6
204,"Decisions that touch Operators from departments that aren't field facing-they are often too complex, not considering Operator & field voice/repercussions",53
204,"Decisions that touch Operators from departments that aren't field facing-they are often too complex, not considering Operator & field voice/repercussions",52
205,The IT department isn't the most effective or efficient department.,52
207,Including true diversity of thought. Not just superficial concepts established by race and gender.,69
208,Speed of the decisions for Operators need to massively improve. Really across the board.,53
208,Speed of the decisions for Operators need to massively improve. Really across the board.,13
213,technology/platforms and the speed at which we move to these,13
213,technology/platforms and the speed at which we move to these,6
214,Multi-Restuarant Operator Decisions,53
215,"The most recent decision to require staff who travel, to document their travel to others states, without explaining the reasons behind it.  I know a lot of people outside of CFA who work for large companies and travel, and do not have to document their travel and pay taxes to these states.  I feel like a decision this significant should have been communicated differently; providing more explanation and allowing opportunity for questions.",8
216,"We tend to take a consensus based approach to decisions.  As a result, people doing the work often don't have autonomy to make the best decision.  Leaders assume what decisions to make, but their assumptions are based on tribal and historical context.",70
217,Promotion decisions. Do people get promoted anymore? It feels like we all have to interview for a higher level. The interview process for internal folks is long and frustrating.,3
218,Giving Operators more flexibility when it comes to running their location.,53
219,Sideways energy spent over what department controls what (resources / people).,52
220,"Capacity relief, solutions to reduce capacity constraints in restaurants",54
222,How to help Operators with capacity issues.,53
222,How to help Operators with capacity issues.,54
223,"We need to empower Operators to add resources they need to attract talent.  If an Operator wants to add a self-ordering kiosk to offer a different channel of ordering for guests, we should support that somehow.  We are all trying to be innovative, build the brand, and serve guests where they are.",53
226,People - Promotions -- it is a beauty contest focused on DE&I,3
227,Leadership choices for some people decisions,70
228,"Career pathing & calibration of employees is not transparent. It does feel like efforts have been made to work on this, but inconsistencies still exist.",3
230,We're good.  We just need to improve decision speed.,13
232,"Each leadership level wants meetings with sub groups-- Field Operations, Field Staff, Regions, our region, areas, etc. Still some unnecessary sign offs from ""leaders"" above us who lack the context on decisions",70
233,Chick-fil-A can make some improvements on leveling the field for promotional opportunities.,3
234,"Corporate leadership.  We've become more focused on ""intelligence""and less on ""wisdom"" in selecting people leaders.  As our brand and budgets grow, its apparent that we've become enamored with ""ivy league degrees"".  While I'm in favor of ivy league degrees, they're a poor substitute for wisdom.",54
234,"Corporate leadership.  We've become more focused on ""intelligence""and less on ""wisdom"" in selecting people leaders.  As our brand and budgets grow, its apparent that we've become enamored with ""ivy league degrees"".  While I'm in favor of ivy league degrees, they're a poor substitute for wisdom.",70
235,Opportunity to calibrate on MU Operator decisions.  Confusion among Operators,53
236,"New technology rollouts, especially staff facing",6
238,People promotions - for years it was a good ole boys club and not merit based. It is improving.,3
239,Decisions that affect Operators' ability to get the chicken sandwich across the counter most effectively.,53
240,"People: Hiring, Promotions, Demotions, Grievances, Consequences",3
242,Budgetary ability at the Area Support Team level to help speed the decision process for restaurant reinvestment decisions.,53
242,Budgetary ability at the Area Support Team level to help speed the decision process for restaurant reinvestment decisions.,13
247,People decisions and specifically ensuring the right candidate is selected. Specifically internal selections where we have the opportunity to access more data from peers and direct reports to find out more about who we are promoting.,2
248,Field Communication - There are several aspects of decisions that have been made that impact the Support Center that have been communicated poorly or not at all to our Operators. This has caused significant disruption in the operating community.,53
248,Field Communication - There are several aspects of decisions that have been made that impact the Support Center that have been communicated poorly or not at all to our Operators. This has caused significant disruption in the operating community.,8
249,"Help Operators and team members more and faster.  They need relief, like pre filleted chicken and pre chopped romaine lettuce.  Simpler menu faster.",53
249,"Help Operators and team members more and faster.  They need relief, like pre filleted chicken and pre chopped romaine lettuce.  Simpler menu faster.",13
251,People decisions - it is very obvious diversity over rides getting the right person - specifically talking about field operations,69
252,People Decisions - it is not clear how to navigate the organization or exactly what is valued in terms of leadership,70
252,People Decisions - it is not clear how to navigate the organization or exactly what is valued in terms of leadership,12
253,"Deciding when to engage outside consultants versus leveraging talent on staff to facilitate, lead and contribute to key business meetings/activities. We have welcomed hundreds of talented new staff members to the organization with a wealth of relevant business experience who are capable of contributing valuable perspectives and learnings to our current challenges if given more opportunity.",2
255,Leadership selection at middle level,70
256,Staff Career Progression,3
258,People promotions - we tend to promote people too quickly and in many cases for the wrong reasons.,3
260,"Strategic decisions like flexibility for people to work away from Atlanta. Mobility, speed of IT transformation.",13
262,Decisions on site selections. Too often it seems we leave it up to Operators to figure out.,53
263,Who they choose for high level leaders.  I think leaders slip through that are not ready for the scope of leadership given due to blind spots in their leadership in terms of what it is like to be on the other side of them and how they treat people.,70
266,Decisions that demand customization to the market and/or Restaurant level,53
268,"I feel like we do not need to get caught up in the current social confusion and start making decisions on what we think the world wants to see as far as hiring, promotions as well as business decisions.  Stay the course!  Corporate Purpose always.",3
270,"Where we focus our energy and headcount e.g. we are bleeding and rather than stop the bleeding, we are adding pretty clothes and buying new cars for the bleeding person.",2
274,Asset allocation - we are overinvesting in growth and underinvesting in building an infrastructure to support the growing business,54
275,Mixed messages,8
276,Department decisions need to be made more quickly and without the levels of leadership on approval that people in those roles are not as close to the work.,13
276,Department decisions need to be made more quickly and without the levels of leadership on approval that people in those roles are not as close to the work.,70
276,Department decisions need to be made more quickly and without the levels of leadership on approval that people in those roles are not as close to the work.,52
277,Department decisions (let the SME and leader make the final decision),70
277,Department decisions (let the SME and leader make the final decision),52
279,Reaching a broader and more diverse audience through regional menu items.,69
280,Leadership accountability for objective staff selection decisions need improvement,70
282,Working a little bit more on the technology aspect to work more efficiently.,6
283,"Staff members were asked not to travel during the pandemic, which was the right choice. I think we need to swing the pendulum and have all staff (who are willing and able) spend time in restaurants supporting Operators.",53
285,"High level communication is good, but there are too many available platforms and applications.",6
285,"High level communication is good, but there are too many available platforms and applications.",8
286,Some People Leadership decisions,70
289,People decisions. Having more diverse leadership teams across all departments.,70
289,People decisions. Having more diverse leadership teams across all departments.,69
291,"Decisions relating to employees not doing their jobs or doing them well. As an organization, even with Milestones, leaders do not properly address poor performance in a timely manner, which leads to others having to pick up the slack and becoming less satisfied with their jobs.",70
292,Decisions that require an exception to the stated policy/standard protocol  Eg  - opening date  - hours of operations  - dining room reopening.  CFA doesn?t have clear decision making practices for who and how to decide when an exception to the standard is needed.,12
297,We don't often have the data we need to make informed decisions. For me this is a lack of people and technology resources to get the data we need.,6
299,Internal people assignments and headcount.,2
300,Lower-level people leadership decisions,70
301,allocating resources (head count) to teams that really need it.,2
303,Budget and headcounts,2
304,People - How we select for promotions and allowing people to grow.,54
304,People - How we select for promotions and allowing people to grow.,3
305,Employee culture and morale - Too many meetings is an example,7
